txt_pl_lem,date
""" „  mówić :  nadejść dzień ,  wzbudzić Dawid odrośl sprawiedliwy .  panować  król , postępować roztropnie ,   wykonywać prawo  sprawiedliwość  ziemia .   dzień Juda dostąpić zbawienie ,  Izrael  mieszkać bezpiecznie .    imię ,    nazywać : "" ""   sprawiedliwość "" "" .   nadejść dzień , mówić  ,     mówić : "" ""  życie  ,  wyprowadzić syn Izrael  ziemia egipski ! "" ""  raczej : "" ""  życie  ,  wyprowadzić  przywrócić pokolenie dom Izrael  ziemia północny   wszystek ziemia ,    rozproszyć "" "" ,    móc mieszkać  swój ziemia ” . pokój zakwitnąć ,   przybyć BożeBoże , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Bo żeWyzwoli  biedaka ,   wzywać ,  ubogi ,   mieć opieka . zmiłować   biedny  ubogi , nędzarz ocalić  śmierć . BożeBłogosławiony    , Bóg Izrael ,   czynić cud .  wiek   błogosławić  imię ,   chwała  wypełnić ziemia .  narodzenie Jezus Chrystus   .  zaślubiny matka  , Maryja ,  Józef , wpierw  zamieszkać razem , znaleźć  brzemienny  sprawa duch święty . mąż  , Józef ,   człowiek prawy   chcieć narazić   zniesławienie , zamierzać oddalić  potajemnie .  powziąć  myśl ,  anioł Pański ukazać    sen  rzec : „ Józef , syn Dawid ,  bać  wziąć  siebie Maryja ,  małżonka ;   duch święty   ,     począć . porodzić syn ,  nadać imię Jezus ,   zbawić swój lud   grzech ” .  stać    ,   wypełnić słowo pańskie powiedzieć  prorok : „  dziewica począć  porodzić syn ,  nadać imię Emmanuel ,  znaczyć "" "" Bóg   "" "" . zbudzić   sen , Józef uczynić  ,   polecić anioł Pański : wziąć swój małżonka  siebie . "" ",2018-12-18
"""  Sorea ,  pokolenie Dan , żyć pewien mąż imię Manoach . żona   niepłodny   rodzić . anioł pański ukazać   kobieta mówić  : „ Otoś  niepłodny   rodzić  ,  począć  porodzić syn .  odtąd strzec  :  pić wino  sycery   jeść  nieczysty .  począć  porodzić syn ,  brzytwa  dotknąć  głowa ,  chłopiec   Bożym nazirejczykiem  chwila urodzić .   zacząć wybawiać izraelita  ręka filistyński ” . pójść  kobieta  swój mąż   rzec   : „ przyjść   mąż boży ,  oblicze   oblicze anioł boży , pełny dostojeństwo .  pytać   ,  przybyć ,    oznajmić  swój imię . rzec   : "" ""  począć  porodzić syn ,  odtąd  pić wino  sycery ,   jeść  nieczysty ,  chłopiec   Bożym nazirejczykiem  chwila urodzić   swój śmierć "" "" . porodzić   kobieta syn  nazwać  imię Samson . chłopiec rosnąć ,    błogosławić . duch   począć   oddziaływać .  opiewać chwała  , Bóg bądź   skała schronienie  zamek warowny ,   ocalić .     opoka  twierdzić , Bóg  , wyrwać   ręka niegodziwca.Bo  ,  Bóg ,   nadzieja ,  ,  ufać  rok młodość .     podpora  dzień narodziny ,  łono matka  opiekunem.Opowiem  potęga  ,  przypominać   sprawiedliwość . Bóg ,   uczyć    młodość    chwila głosić  cud .  czas Herod , król Judea , żyć pewien kapłan , imię Zachariasz ,  oddział Abiasza . mieć  żona  ród Aaron ,   imię   Elżbieta . oba  sprawiedliwy wobec Bóg  postępować nienagannie  wszystek przykazanie  przepis pański .  mieć  dziecko ,  Elżbieta  niepłodny ; oba    posunąć  rok .  Zachariasz  wyznaczyć  swój oddział kolej pełnić służba kapłański  Bóg ,  zgodnie  zwyczaj kapłański przypaść los ,  wejść  przybytek pański  złożyć ofiara kadzenie .   lud modlić   zewnątrz  czas kadzenie . naraz ukazać   anioł pański , stać  prawy strona ołtarz kadzenie . przerazić    widok Zachariasz  strach paść   .  anioł rzec   : „  bać  , Zachariasz ;  prośba zostać wysłuchać : żona  Elżbieta urodzić  syn ,  nadać imię Jan .     radość  wesele ;     Narodzenie cieszyć   .   wielki  oko  ; wina  sycery pić      łono matka napełnić  Duch święty .  spośród dziecko Izrael nawrócić   , Bóg  ;   pójść    duch  moc Eliasz ,  serce ojciec nakłonić  dziecko ,  nieposłuszny  usposobić sprawiedliwy ,  przygotować  lud doskonały ” .   rzec Zachariasz  anioł : „    poznać ?     stary   żona   podeszły wiek ” . odpowiedzieć  anioł : „   Gabriel ,  stać  Bóg .  zostać  posłać ,  mówić    oznajmić   wieść radosny .    niemy    móc mówić   dzień ,     stać ,   uwierzyć   słowo ,   spełnić  swój czas ” . lud tymczasem czekać  Zachariasz .  dziwić  ,   długo zatrzymywać   przybytek .  wyjść ,  móc   mówić  zrozumieć ,  mieć widzenie  przybytek .   dawać  znak  pozostać niemy .   upłynąć dzień  posługa kapłański , powrócić  swój dom . potem żona  , Elżbieta , począć  pozostawać  ukrycie  pięć miesiąc  mówić : „  uczynić   wówczas ,  wejrzeć łaskawie  zdjąć   hańba  oko człowiek ” . "" ",2018-12-19
"""  przemówić  Achaza  słowo : „ prosić  siebie  znak   , Bóg  ,   głęboko  Szeol ,   wysoko  góra ” .  Achaz odpowiedzieć : „   prosić    wystawiać   próba ” .  rzec Izajasz : „ słuchać  , dom dawidowy : czyż   naprzykrzać  człowiek ,  naprzykrzać    Bóg ?    dać  znak :  Panna począć  porodzić syn ,  nazwać  imię Emanuel ” . przybyć ,  Pan , Tyś  król chwała   należeć ziemia   ,   napełniać , świat   mieszkaniec .     morze osadzić  utwierdzić  rzekami.Kto wstąpić  góra Pan ,  stanąć   święty miejsce ? człowiek ręka nieskalany  czysty serce ,   skłonić swój dusza  marność .  otrzymać błogosławieństwo    zapłata  Bóg , swój zbawca .  pokolenie  ,   szukać ,  szukać oblicze Bóg Jakub . Bóg posłać anioł Gabriel  miasto  Galilea , zwać Nazaret ,  dziewica poślubić mąż , imię Józef ,  ród Dawida ;  dziewica   imię Maryja . anioł wejść    rzec : „  pozdrowiony , pełny łaska ,    ” .  zmieszać    słowo  rozważać ,  mieć  znaczyć  pozdrowienie.ecz anioł rzec   : „  bać  , Maryja , znaleźć   łaska  Bóg .  począć  porodzić syn ,  nadać imię Jezus .   wielki   nazwać syn wysoki ,   Bóg dać  tron  ojciec , Dawid .  panować  dom Jakub  wiek ,   panowanie   koniec ” .   Maryja rzec  anioł : „ jakże   stać , skoro  znać mąż ? ” anioł  odpowiedzieć : „ Duch święty zstąpić    moc wysoki osłonić  .   święty ,   narodzić ,  nazwać syn boży .    krewna  , Elżbieta , począć  swój starość syn     szósty miesiąc  ,  uchodzić  niepłodny .  Bóg   mieć  niemożliwy ” .   rzec Maryja : „   służebnica pański ,    stanąć   słowo ” .  odejść   anioł . "" ",2018-12-20
""" miły :  wiedzieć ,  Bóg  sprawiedliwy ,  uznać  ,   ,  postępować sprawiedliwie , pochodzić   . popatrzeć ,  miłość obdarzyć  ojciec : zostać  nazwać dziecko boży :  rzeczywiście   . świat     znać ,   poznać  . umiłowany , obecnie  dziecko boży ,     ujawnić ,   . wiedzieć ,    objawić ,    podobny ,  ujrzeć   ,   .   ,  pokładać   nadzieja , uświęcać  , podobnie    święty .  ,  grzeszyć , dopuszczać  bezprawie ,  grzech  bezprawie . wiedzieć ,    objawić   ,  zgładzić grzech ,     mieć grzech .  ,  trwać   ,  grzeszyć ,     ,  grzeszyć ,  widzieć     poznać . ziemia ujrzeć swój zbawiciel śpiewać  pieśń nowy ,  uczynić cud . zwycięstwo  zgotować  prawica  święty ramię Jego.Ujrza ły wszystek kraniec ziemi zbawienie Bóg  . wołać  radość  cześć Pan ,  ziemia , cieszyć  , weselić  grać . śpiewać   wtór cytra ,  wtór cytra   dźwięk harfa .  trąba   dźwięk róg ,  oko   król  radować . nazajutrz Jan zobaczyć Jezus , nadchodzić   ,  rzec : „  Baranek boży ,  gładzić grzech świat .    ,   powiedzieć  : "" ""   przyjść mąż ,   przewyższyć godność ,   wcześnie   "" "" .     znać  ,  przyjść  chrzcić woda   cel ,    objawić Izrael "" "" . Jan dać  świadectwo : "" "" ujrzeć  duch ,   gołębica zstępować  niebo  spocząć   .     znać  ,   ,   posłać , abym chrzcić woda , powiedzieć   : "" ""  ,   ujrzeć duch zstępować  spoczywać   ,   ,  chrzcić duch święty "" "" .   ujrzeć   dawać świadectwo ,    syn boży ” . "" ",2019-01-03
""" powstać , świecić , Jeruzalem ,  przyjść  światło  chwała  rozbłyskać   .   ciemność okrywać ziemia  gęsty mrok spowijać lud ,    jaśnieć    chwała jawić    .  pójść naród   światło , król  blask  wschód . podnieść oko wokoło  popatrzeć :   zebrać zdążać   .  syn przychodzić  daleki ,  ręka nieść  córka .  zobaczyć  promienieć  , zadrżeć  rozszerzyć   serce ,    napłynąć bogactwo zamorski , zasób naród przyjść   . zalać  mnogość wielbłąd , dromader  Madianu   Efy . wszystek  przybyć  Saba , ofiarować złoto  kadzidło , nucić radośnie hymn  cześć Pan . uwielbić  wszystek lud ziemia Bóg , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Za dzień  zakwitnąć sprawiedliwość ,  wielki pokój ,  księżyc  zgasnąć .  panować  morze  morze ,  rzeka   kraniec ziemi.Kr ólowie Tarszisz  wyspa przynieść dar , król Szeby  Saba złożyć danina .  oddać  pokłon wszystek król , wszystek naród   służyć . wyzwolić  biedak ,   wzywać ,  ubogi ,   mieć opieka . zmiłować   biedny  ubogi , nędzarz ocalić  śmierć .  Jezus narodzić   Betlejem  Judea  panowanie król Herod ,  mędrzec  wschód przybyć  Jerozolima  pytać : „   nowo narodzić król żydowski ? ujrzeć    gwiazda  wschód  przybyć  oddać  pokłon ” . skoro usłyszeć  król Herod , przerazić  ,     Jerozolima . zebrać  wszystek arcykapłan  uczony lud  wypytywać  ,  mieć  narodzić Mesjasz .   odpowiedzieć : „  Betlejem judzki ,   napisać prorok :   , Betlejem , ziemia Juda ,   zgoła lichy spośród główny miasto Juda ,    wyjść władca ,   pasterz lud  , Izrael ” .  herod przywołać potajemnie mędrzec  wypytać  dokładnie  czas ukazać  gwiazda .  kierować   Betlejem , rzec : „ udać    wypytywać starannie  dziecię ,    znaleźć , donieść  , abym   móc pójść  oddać  pokłon ” .   wysłuchać król , ruszyć  droga .   gwiazda ,  widzieć  Wschód , iść   ,  przyjść  zatrzymać   miejsce ,   dziecię .  ujrzeć gwiazda ,   uradować . wejść  dom  zobaczyć dziecię  matka  , Maryja ; upaść  twarz  oddać  pokłon .  otworzyć swój skarb , ofiarować  dar : złoto , kadzidło  mirra .  otrzymać  sen nakaz ,   wracać  Herod ,  droga udać   ojczyzna . "" ",2019-01-06
""" umiłowany , miłować  wzajemnie ,  miłość   Bóg ,   ,  miłować , narodzić   Bóg  znać Bóg .   miłować ,  znać Bóg ,  Bóg  miłość .   objawić  miłość Bóg   ,  zesłać syn swój jednorodzony  świat , abyśmy życie mieć dzięki  .   przejawiać  miłość ,    umiłować  Bóg ,      umiłować  posłać syn swój  ofiara przebłagalny   grzech . uwielbić  wszystek lud ziemia Bóg , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Niech góra przynieść lud pokój ,  wzgórze sprawiedliwość . otoczyć opieka uciśniony  lud ,  ratować dziecko biedak .  dzień  zakwitnąć sprawiedliwość  wielki pokój ,  księżyc  zgasnąć .  panować  morze  morze ,  rzeka   kraniec ziemia .  Jezus ujrzeć wielki tłum , ogarnąć  litość   ;    owca  mieć pasterz .  zacząć  nauczać .   pora   późny , przystąpić   uczeń  rzec : „ miejsce  pusty ,  pora  późny . odprawić  .  iść  okoliczny osiedle  wieś ,  kupić siebie   jeść ” .    odpowiedzieć : „  dać  jeść ” . rzec  : „ mieć pójść   dwieście denar kupić chleb ,   dać jeść ? ”   spytać : „  mieć chleb ? iść , zobaczyć ! ”   upewnić , rzec : „ pięć   ryba ” .  polecić   usiąść gromada  zielony trawa .  rozłożyć  gromada  gromada ,  sto   pięćdziesiąt .  wziąć pięć chleb   ryba , spojrzeć  niebo , odmówić błogosławieństwo , połamać chleb  dawać uczeń ,  kłaść   .   ryba rozdzielić   . jeść wszystek  sytość  zebrać  dwanaście pełny kosz ułomek  ostatek  ryba .   ,  jeść chleb ,  pięć tysiąc mężczyzna . "" ",2019-01-08
""" umiłowany ,  Bóg   umiłować ,    winien   wzajemnie miłować . nikt  Bóg  oglądać .  miłować  wzajemnie , Bóg trwać    miłość      doskonały . poznawać ,   trwać   ,     ,  udzielić   swój Duch .   widzieć   świadczyć ,  ojciec zesłać syn  zbawiciel świat .   wyznawać ,  Jezus  syn boży ,  Bóg trwać   ,    Bóg . Myśmy poznać  uwierzyć miłość ,  Bóg mieć   . Bóg  miłość :  trwać  miłość , trwać  Bóg ,  Bóg trwać   .   miłość osiągać   kres doskonałość ,   ,     niebo ,      świat .  miłość  mieć lęk ,  doskonały miłość usuwać lęk ,  lęk kojarzyć   kara .   ,   lękać ,  wydoskonalić   miłość . uwielbić  wszystek lud ziemia Bóg , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Kr ólowie Tarszisz  wyspa przynieść dar , król Szeby  Saba złożyć danina .  oddać  pokłon wszystek król , wszystek naród   służyć . wyzwolić  biedak ,   wzywać ,  ubogi ,   mieć opieka . zmiłować   biedny  ubogi , nędzarz ocalić  śmierć .  Jezus nasycić pięć tysiąc mężczyzna , zaraz przynaglić swój uczeń ,  wsiąść  łódź  wyprzedzić   drugi brzeg ,  Betsaida , zanim odprawić tłum .  rozstać    , odejść  góra ,   modlić . wieczór zapaść , łódź   środek jezioro ,      ląd . widzieć ,   trudzić  wiosłować ,  wiatr   przeciwny ,  czwarty straż nocny przyjść   , kroczyć  jezioro ,  chcieć  minąć .   ,   ujrzeć kroczyć  jezioro , myśleć ,   zjawa ,  zacząć krzyczeć . widzieć     zatrwożyć  .   zaraz przemówić   : „ odwaga ,   ,  bać  ” .  wejść    łódź ,  wiatr  uciszyć .     zdumić  dusza ,   zrozumieć sprawa  chleb ,  umysł   otępiały . "" ",2019-01-09
""" miły :  miłować Bóg ,  Bóg  pierwszy  umiłować . jeśliby  mówić : „ miłować Bóg ” ,  brat swój nienawidzić ,  kłamca ,    miłować brat swój ,  widzieć ,  móc miłować Bóg ,   widzieć .   mieć   przykazanie ,   ,  miłować Bóg , miłować   brat swój .  ,  wierzyć ,  Jezus  mesjasz ,  Bóg  narodzić   miłować  ,  dać życie , miłować   ,  życie   otrzymać .   poznawać ,  miłować dziecko boży ,  miłować Bóg  wypełniać  przykazanie ,  miłość względem Bóg polegać  spełniać  przykazanie , przykazanie    ciężki .   ,   Bóg zrodzić , zwyciężać świat ,   zwycięstwo ,  zwyciężyć świat ,   wiara . uwielbić  wszystek lud ziemia Bóg , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Wybawi   krzywda  ucisk  krew  cenny    oko .    modlić   , nieustannie  błogosławić .   imię trwać  wiek ;  długo świecić słońce ,  trwać  imię .   imię wzajemnie  błogosławić .  wszystek naród ziemia życzyć  szczęście ! Jezus powrócić  moc duch  Galilea ,  wieść   rozejść    okolica .   nauczać   synagoga , wysławiać   . przyjść   Nazaret ,   wychować .  dzień szabat udać  swój zwyczaj  synagoga  powstać ,  czytać . podać  księga prorok Izajasz . rozwinąć księga , natrafić  miejsce ,   napisać : „ duch pański spoczywać   ,   namaścić  posłać  , abym ubogi nieść dobry nowina , więzień głosić wolność ,  niewidomy przejrzeć ; abym uciśniony odsyłać wolny , abym obwoływać rok łaski   ” . zwinąć księga oddać sługa  usiąść ;  oko   synagoga    utkwić . począć  mówić   : „  spełnić   słowo pismo , któreście słyszeć ” .   przyświadczać   dziwić  pełny wdzięk słowo ,  płynąć  usta  . "" ",2019-01-10
"""  mówić  Bóg : "" ""   wysłać anioł  ,  przygotować droga   ,  potem nagle przybyć  swój świątynia Pan ,   oczekiwać ,  anioł przymierze ,  pragnąć .  nadejść , mówić  Zastępa .   przetrwać dzień  nadejść    ostać ,   ukazać ?     ogień złotnik   ług farbiarz . usiąść  ,  mieć przetapiać  oczyszczać srebro ,  oczyścić syn Lewi ,  przecedzić   złoto  srebro ,    składać  ofiara sprawiedliwy .   mieć  ofiara Juda  Jeruzalem   dawny dzień  rok starożytny "" "" .  Bóg Zastępa ,   król chwała brama , podnieść swój szczyt , unieść  , odwieczny podwój ,  móc wkroczyć Król chwała .    król chwała ?  , dzielny  potężny ,  , potężny  boju.Bramy , podnieść swój szczyt , unieść  , odwieczny podwój ,  móc wkroczyć Król chwała .    król chwała ?  Zastępa :   król chwała . błogosławić , dusza  ,  , Bóg  ,  ,    wielki ! odziać  majestat  piękno , światło okryć  płaszcz . Chmura   rydwan , przechadzać   skrzydło wiatr . wicher używać  swój poseł , sługa  ogień  płomień .  liczny  dzieło  ,  !   mądrze uczynić  , ziemia  pełny  stworzenie .   morze , ogromny  szeroki ,    żyjątko  lik , zwierzę wielki  mały .   czekać   , byś dać  pokarm  właściwy czas .   dawać , zbierać ,  otwierać swój ręka , sycić   dobrem.Kiedy odbierać  oddech , marnieć   proch  obracać . stwarzać  , napełniać swój duch ,  odnawiać oblicze ziemia .  upłynąć dzień oczyścić Maryja  prawo mojżeszowy , rodzic przynieść Jezus  Jerozolima ,   przedstawić  .    napisać  prawo pański : "" ""  pierworodny dziecko płeć męski  poświęcić  "" "" . mieć  złożyć  ofiara parę synogarlica   młody gołębi , zgodnie  przepis prawo pański .  żyć  Jerozolima człowiek , imię Symeon .   człowiek sprawiedliwy  pobożny , wyczekiwać pociecha Izrael ,  Duch święty spoczywać   .  Duch święty objawić ,   ujrzeć śmierć ,   zobaczyć Mesjasz pański .  natchnienie  Duch przyjść  świątynia .   rodzic wnosić dzieciątko Jezus ,  postąpić    zwyczaj prawo ,  wziąć   objęcie , błogosławić Bóg  mówić :  upłynąć dzień oczyścić Maryja  prawo mojżeszowy , rodzic przynieść Jezus  Jerozolima ,   przedstawić  .    napisać  prawo pański : "" ""  ,  władca , pozwolić odejść sługa   pokój ,   słowo .   oko ujrzeć  zbawienie , któryś przygotować wobec wszystek naród : światło  oświecenie poganin  chwała lud  , Izrael "" "" .   ojciec  Matka dziwić   ,    mówić . Symeon  błogosławić   rzec  Maryja , matka  : "" ""   przeznaczyć   upadek   powstanie   Izrael   znak ,  sprzeciwiać   .   dusza miecz przeniknąć ,   jaw wyjść zamysł serce  "" "" .    prorokini Anna , córka Fanuela  pokolenie Asera ,  podejść  rok .  swój panieństwo siedem rok żyć  mąż  pozostawać wdowa . liczyć  osiemdziesiąty czwarty rok życie .  rozstawać   świątynia , służyć Bóg  posta  modlitwa dzień  noc . przyjść    chwila , sławić Bóg  mówić   wszystek ,  oczekiwać wyzwolić Jerozolima .   wypełnić   prawo pański , wrócić  Galilea ,  swój miasto Nazaret . dziecię  rosnąć  nabierać moc , napełniać  mądrość ,  łaska boży spoczywać   . "" ",2019-01-13
"""  anioł Bóg poddać przyszły świat ,   mówić .    potwierdzić uroczyście , mówić : "" ""   człowiek ,  pamiętać   ,  syn człowieczy ,   troszczyć   ;   mały uczynić    anioł , chwała  cześć  uwieńczyć  .  poddać    stopa "" "" .   poddać   ,   zostawić ,      poddać .  wszakże  widzieć  ,     poddać . widzieć  Jezus ,     anioł  mały , chwała  cześć uwieńczyć  męka śmierć ,   łaska boży zaznać śmierć   człowiek . przystać   ,        istnieć ,   syn  chwała doprowadzać ,  przewodnik  zbawienie udoskonalić  cierpienie .    ,  uświęcać ,   ,  mieć  uświęcić ,    pochodzić .    przyczyna  wstydzić  nazywać  brat swój , mówić : "" "" oznajmić imię  brat  , pośrodku zgromadzenie   wychwalać "" "" . dać  syn władza  swój dzieło  Pan ,   ,  przedziwny   imię   ziemia .   człowiek ,    pamiętać ,  syn człowieczy ,  troszczyć    ? uczynić   niewiele mały  anioł , uwieńczyć   cześć  chwała . obdarzyć   władza  dzieło ręka  ,  złożyć    stopa : Owca  bydło wszelaki ,  dziki zwierzę , ptak niebieski  ryba morski ,  ,  szlaka morze przemierzać .  Kafarnaum Jezus  szabat wejść  synagoga  nauczać . zdumiewać   nauka : uczyć     ,  mieć władza ,    uczony  pismo .     synagoga człowiek opętać  duch nieczysty . zacząć  wołać : "" ""  chcieć   , Jezus nazarejczyk ? przyjść   zgubić . wiedzieć ,   : święty Bóg "" "" .  Jezus rozkazać  surowo : "" "" Milcz  wyjść   ! "" ""  duch nieczysty zacząć  miotać   głośny krzyk wyjść   .    zdumieć ,    drugi pytać : "" ""    ? nowy  nauka  moc .  duch nieczysty rozkazywać    posłuszny "" "" .  wnet rozejść  wieść   wszędzie   okoliczny kraina galilejski . "" ",2019-01-15
"""  dziecko mieć udział  krew   ciało ,   Jezus    różnica otrzymać   udziać ,   śmierć pokonać  ,  dzierżyć władza  śmierć ,   diabeł ,   uwolnić  wszystek ,   życie  bojaźń śmierć podległy  niewoli . zaiste   anioł przygarniać ,  przygarniać potomstwo abrahamowy .  musieć  upodobnić   wzgląd  brat ,  stać  miłosierny  wierny arcykapłan   ,   odnosić  Bóg –  przebłagać  grzech lud .    ,   wycierpieć poddać próba , móc przyjść  pomoc  ,   podlegać .  Bóg pamiętać  swój przymierze Sławcio  , wzywać  imię , głosić  dzieło wśród naród . śpiewać  grać  psalm , rozgłaszać wszystek  cuda.Szczy ćcie   święty imię   weselić serce szukać  rozmyślać     potęga ,  szukać  oblicza.Potomkowie Abraham , sługa  , syn Jakub ,  wybraniec .  ,  ,   Bóg ,  wyrok obejmować świat  .  wiek pamiętać  swój przymierze , obietnica dany tysiąc pokolenie ,  przymierze ,  zawrzeć  Abraham przysięga dać Izaak .  wyjść  synagoga Jezus przyjść  Jakub  Jan  dom Szymon  Andrzej . teściowa  Szymona leżeć  gorączka . zaraz powiedzieć    .  podejść  podnieść  , ująć  ręka ,  opuścić  gorączka .  usługiwać  .  nastać wieczór ,  słońce zajść , przynosić   wszystek chory  opętany ;   miasto zebrać   drzwi . uzdrowić  dotknąć rozmaity choroba   zły duch wyrzucić ,   pozwalać zły duch mówić ,   znać .  rano ,    ciemno , wstać , wyjść  udać   miejsce pustynny ,    modlić . pośpieszyć   Szymon  towarzysz ,    znaleźć , powiedzieć  : "" ""   szukać "" "" .   rzec   : "" "" pójść  indziej ,  sąsiedni miejscowość , abym   móc nauczać ,    wyjść  "" "" .  chodzić   Galilea , nauczać   synagoga  wyrzucać zły duch . "" ",2019-01-16
""" postępować ,  mówić Duch święty : "" ""  ,  głos  usłyszeć ,  zatwardzać serce    bunt ,  dzień kusić  pustynia ,  kusić  ojciec wasi , wystawiać  próba , chociaż widzieć dzieło   rok czterdzieści . rozgniewać   przeto   pokolenie  powiedzieć  :  błądzić  serce .    poznać droga  ,  przysięgnąć   swój gniew :  wejść   odpoczynek "" "" . baczyć , brat ,        przewrotny serce niewiara ,  skutek  odstąpić  Bóg żywy ,  zachęcać  wzajemnie  dzień , póki trwać  ,  zwać  "" ""  "" "" ,      ulec zatwardziałość  oszustwo grzech .   współuczestnik Chrystus ,  pierwotny nadzieja  koniec zachować silny . słyszeć głos  , serce  zatwardzać przyjść , uwielbiać  , padać  twarz , klęknąć   ,   stworzyć .     Bóg ,   lud  pastwisko  owca   ręka . Obyście  usłyszeć głos  : "" ""   twardnieć  serce   Meriba ,   pustynia  dzień Massa ,   kusić  ojciec , doświadczać  ,  widzieć  dzieło .  rok czterdzieści  pokolenie wstręt   budzić  powiedzieć  :  lud  serce zbłąkany   droga  znać . przeto przysięgnąć   gniew ,   wejść   kraina spoczynek "" "" . pewien dzień przyjść  Jezus trędowaty  upaść  kolano , prosić  : "" ""  zechcieć , móc  oczyścić "" "" .  Jezus , zdjąć litość , wyciągnąć ręka , dotknąć   rzec   : "" "" chcieć ,  oczyścić "" "" . zaraz trąd  opuścić ""  zostać oczyścić . Jezus surowo  przykazać  zaraz  odprawić , mówić  : "" "" Bacz , abyś nikt   mówić ,  iść , pokazać  kapłan  złożyć  swój oczyszczenie ofiara ,  przepisać Mojżesz ,  świadectwo   "" "" .    wyjście zacząć  opowiadać  rozgłaszać  ,  zajść ,   Jezus  móc  jawnie wejść  miasto ,  przebywać  miejsce pustynny .  człowiek zewsząd schodzić    . "" ",2019-01-17
"""  wzgląd  Syjon  umilknąć ,  wzgląd  Jerozolima  spocząć , dopóki  sprawiedliwość  błysnąć  zorza  zbawienie   zapłonąć  pochodnia . wówczas naród ujrzeć  sprawiedliwość  chwała  wszystek król .  nazwa  nowy imię ,  usta  określić .  prześliczny korona  ręka  , królewski diadem  dłoń  Bóg .    mówić   "" "" porzucić "" "" ,  kraina    powiedzieć "" "" spustoszyć "" "" . raczej  nazwa "" ""    upodobanie "" "" ,  kraina  – "" "" poślubić "" "" .  spodobać      kraina otrzymać mąż .   młodzieniec poślubiać dziewica ,   budowniczy  poślubić ,   oblubieniec weselić   oblubienica ,  Bóg    rozradować . pośród naród głosić chwała  śpiewać  pieśń nowy , śpiewać  , ziemia  . śpiewać  , sławić  imię .  dzień głosić  zbawienie . głosić  chwała wśród wszystek naród , rozgłaszać  cud pośród wszystek lud . oddać  , rodzina naród , oddać  chwała  uznać  potęga . oddać  chwała należny  imię , przynieść dar  wejść   dziedziniec . uwielbiać   święty przybytek , zadrżeć , ziemia  ,   oblicze . głosić wśród lud ,    król ,  sprawiedliwie sądzić lud .  Kana Galilejski odbywać  wesele    matka Jezus . zaprosić   wesele  Jezus   uczeń .   zabraknąć wino , matka Jezus rzec   : "" ""  mieć wino "" "" . Jezus  odpowiedzieć : "" "" Czyż     sprawa , niewiasta ?    nadejść godzina  ? "" ""  matka  powiedzieć  sługa : "" "" zrobić  ,   powiedzieć "" "" . stać   sześć stągiew kamienny przeznaczyć  żydowski oczyszczenie ,    móc pomieścić   trzy miara . Jezus rzec  sługa : "" "" napełnić stągiew woda "" "" .  napełnić    brzeg . potem powiedzieć   : "" "" zaczerpnąć   zanieść starosta weselny "" "" .   zanieść .   starosta weselny skosztować woda ,  stać  wino –   wiedzieć ,   pochodzić ,  sługa ,  czerpać woda , wiedzieć – przywołać  młody  powiedzieć   : "" ""  człowiek stawiać najpierw dobry wino ,    napić , wówczas zły .  zachować  dobry wino    pora "" "" .   początek znak uczynić Jezus  Kana Galilejski . objawić swój chwała  uwierzyć    uczeń . "" ",2019-01-20
""" melchizedek , król Szalemu , kapłan Bóg wysoki , wyjść  spotkanie Abraham , wracać  rozgromić król ,  udzielić  błogosławieństwo .  Abraham  wydzielić dziesięcina   łup . imię  najpierw oznaczać król sprawiedliwość ,  następnie  król Szalemu ,   król pokój .  ojciec ,  matka ,  rodowód ,  mieć  początek swój dzień ,   koniec życie , upodobnić   syn boży , pozostawać kapłan   .     oczywisty , skoro  podobieństwo melchizedek  ustanowić  kapłan ,  stać     cielesny przepis prawo ,   moc niezniszczalny życie . dać     świadectwo : "" ""   kapłan  wiek  wzór melchizedek "" "" .  kapłan ,   melchizedek rzec     : "" "" siąść   prawica ,  uczynić  wróg podnóżek stopa  "" "" .  rozciągnąć moc  berło  Syjon : "" "" panować wśród swój nieprzyjaciel !   panować  dzień  triumf ,  blask świętość ,  łono jutrzenka zrodzić    rosa "" "" .  przysięgnąć    odwołać : "" ""   kapłan  wiek  wzór melchizedek "" "" .  dzień szabat Jezus wejść  synagoga .   człowiek ,  mieć uschnąć ręka .  śledzić  ,  uzdrowić   szabat ,   oskarżyć .   rzec  człowiek  uschły ręka : "" "" podnieść   środek ! "" ""    powiedzieć : "" ""  wolno  szabat : uczynić  dobry   zły ? życie uratować  zabić ? "" ""   milczeć .  spojrzeć   dokoła  gniew , zasmucić  powód zatwardziałość  serce , rzec  człowiek : "" "" wyciągnąć ręka ! "" "" wyciągnąć ,  ręka  stać   zdrowy .  faryzeusz wyjść   zwolennik Herod zaraz  naradzać przeciwko  ,     zgładzić . "" ",2019-01-23
