txt_pl_lem,title
""" ofiarować ty, Pan mój cały życie mój, cały być twój, aż na wiek. oto moja serce, przecież wiedzieć, tybyć miłość mój jedyna być. "" ",Będziemy tańczyć
""" oto ja posłać ja dotknąć ogień moi warga powiedzieć Pan czego chcieć a moja rozkosz być być posłuszny. dać mi swój duch, abybyć móc stać się chleb abybyć stać się wino, abybyć gasić twój pragnienie. oto ja posłać ja dotknąć ogień moi warga powiedzieć Pan czego chcieć a moja rozkosz być być posłuszny. nie chcieć ci już mówić o moi potrzeba, Pan ty wiedzieć wszystko. objaw mi twój pragnienie. "" ",Będę śpiewał Ci
""" oto być dzienia, który dać my Pan weselić się i radować się w nim. "" ","Błogosław, duszo moja Pana"
""" być tańczyć, być śpiewać, być klaskać w dłoń swój, kiedy nasz Pan stan z my twarz w twarz, spotkać się w nowa Jeruzalem. ref: być tańczyć, być śpiewać, być klaskać w dłoń swój, kiedy nasz Pan w biały szata stawić my przed ojciec swój, przed Adonai. nadejść dzienia, w który wszystko spełnić się co dawno już objawić bóg, więc mocno trwać, nigdy nie poddawać się, nie poddawać się. "" ",Błogosławcie Pana wszystkie Jego dzieła
""" oto stać u drzwi i kołatać. oto stać u drzwi i kołatać. jeśli kto posłyszeć mój głos i drzwi otworzyć wejść do on i być z nim wieczerzać, a on z ja. "" ",Błogosławione jest Imię Twe
""" otworzyć mój oko, o Pan, otworzyć mój oko i serce, chcieć widzieć ty. wywyższyć widzieć chcieć, ujrzeć ty w blask twój chwała. wylać swój miłość i moc, gdy śpiewać święty, święty, święty. chcieć widzieć ty. "" ",Cała ziemio wołaj
""" oświecić droga mój, choćby na jeden krok i nie pozwolić mi w miejsce stać. ciągle czekać na cud abybyć nowa pragnienie w moja serce wlać. "" ",Chcę wywyższać Imię Twe
"""Pan – być moi pasterz, nic mi nie braknąć. pozwalać mi leżeć na zielone pastwisko, nic mi nie braknąć. prowadzić ja nad woda, gdzie móc odpocząć, nic mi nie braknąć. "" ",Chlebie najcichszy
""" Pan blisko być, oczekiwać go Pan blisko być, w nim serce moc. "" ",Chrystus Pan karmi nas
""" Pan być pasterz moi, nic mi nie braknąć. na zielone niwa pas ja, nad woda spokojny ja prowadzić i dusza mój pokrzepiać i wieść ja ścieżek sprawiedliwość swój. choćbybyć nawet iść ciemny dolina zło się nie ulęknąć, bobyć ty z ja. laska twoja i kij twój ja pocieszać. Laj laj… "" ","Chrystus Pan, Boży Syn"
""" czuwać nad ja bóg mój bóg. Pan ja strzec, Pan ja strzec, czuwać nad ja bóg, on być moi cień. chcieć z ty chodzić po wszyscy mój droga, prowadzić ja w moc swój abybyć nie upaść! Pan ja strzec, Pan ja strzec, czuwać nad ja bóg, on być moi cień. "" ",Chwal Adonai
""" Pan wywyższyć, nasz Król wywyższyć wśród chwała, uwielbiać go. Pan wywyższyć, nasz Król wywyższyć oddać on cześć! Król być Pan, on łaska na wiek trwać. niebo i Ziemia, radować się on imienie. Pan wywyższyć, nasz Król wywyższyć wśród chwała. "" ",Chwalcie Pana niebios
""" Pan dobry jak chleb bądź uwielbić od swój kościół, bo tybyć do koniec my umiłować, do koniec my umiłować. tybyć na pustkowie chleb rozmnożyć, Pan, bybyć do niebo w droga nie ustały, tybyć stać się manna wędrowca przez ziemia, dla ten, co dotąd przy ty wytrwały. Pan dobry jak chleb bądź uwielbić od swój kościół, bo tybyć do koniec my umiłować, do koniec my umiłować. ziarno zebrać, odrzucić chwast, bo łan dojrzewać, pachnieć świeży chleb. niech ziemia nasz stan się ołtarz, a chleb komunia dla spragniony ty. Pan dobry jak chleb bądź uwielbić od swój kościół, bo tybyć do koniec my umiłować, do koniec my umiłować. ty my nazwaćbyć swój przyjaciel, jeśli spełnić, co my przykazaćbyć. cóż my bez ty, Pan, uczynić? tybyć nasi życie i oczekiwanie. Pan dobry jak chleb bądź uwielbić od swój kościół, bo tybyć do koniec my umiłować, do koniec my umiłować. tybyć za my życie swój na krzyż oddać, a w znak chleb z my pozostaćbyć i dla my zawsze mieć otwarty serce, bo ty do koniec my umiłowaćbyć. "" ",Chwalcie łąki umajone
""" Pan mój przychodzić dziś, serce mój skruszony przyjm. skłaniać się przed święta tron twój. wznosić ręka moja wzwyż, miłość mój wyznawać ci. uwielbiać ty w duch, uwielbiać w prawda ty. "" ","Chwalę Ciebie, Panie"
""" być śpiewać ci piękny pieśń z anioł tak być śpiewać ci święty, święty, święty być Pan, zastęp Pan. cały ziemia być pełny on chwała "" ",Chwała Bogu Ojcu
""" Pan pozostać, mój się ku wieczor, dzienia się już nachylić. "" ",Ciebie całą duszą pragnę
""" pan chwała i cześć, głosić chwała i cześć. pan chwała i cześć, potężny bóg być. ty, co mieszkać na wyspa, ty, co morze przemierzać i ty, mieszkaniec miasto wznieść swój głos i zaśpiewać! pan chwała i cześć, głosić chwała i cześć. pan chwała i cześć, potężny bóg być. śpiewać pan pieśń nowa, ogłosić chwała po kraniec ziemia, niech każdy naród wyznać on cześć tak, aby każdy usłyszeć "" ",Do Ciebie Panie
""" pewien noc łza z oko mój otrzeć dłoń swój Jezus i powiedzieć mi: „nie martwić się, być przy bok twój.” potem spojrzeć na grzeszny świat pogrążyć w ciemność i zwracać się do ja pełny troska tak rzec: powiedzieć człowiek, że kochać on, że się o on wciąż troszczyć. jeśli zeszły już z moi droga, powiedzieć, że szukać on. gdy na wzgórze golgota za on życie oddaćbyć to umrzećbyć za wszyscy aby każdy móc żyć. nie zapomnieć ten chwila, gdy ja spotkać mój Jezus. wtedy byćbyć jak ślepy on przywrócić mi wzrok. powiedzieć człowiek, że kochać on, że się o on wciąż troszczyć. jeśli zeszły już z moi droga, powiedzieć, że szukać on. "" ",Do mnie wróć
podnieść ja Jezus i prowadzić do ojciec podnieść ja Jezus i prowadzić do ojciec zanurzyć ja w woda on miłosierdzie amen amen ,Dobry jest Pan
""" pokój wy, pokój wy, pokój wy, nie bać się wziąć duch święty, wziąć duch święty, on poprowadzić wy. "" ",Dotknij Panie moich oczu
""" pomodlić się Miriam, aby twój syn żyła w ja. pomodlić się, by Jezus w ja żyła. gdzie ty być, zstępować duch święty. gdzie ty być, niebo staj się. Miriam, tybyć być brama do niebo, moi niebo być twój syn wziąć ja, wziąć ja do swój łono, bybyć bóstwo Jezus zajaśnieć jak ty. pomodlić się Miriam, aby twój syn żyła w ja. pomodlić się, by Jezus w ja żyła. gdzie ty być, zstępować duch święty. gdzie ty być, niebo staj się. gdybybyć umrzeć, Jezus żyćby w ja. gdybybyć umrzeć, odpocząćbybyć. przyspieszyć, przyspieszyć moja śmierć. pragnąć umrzeć, aby żyć. "" ",Duchu miłości
""" powietrze moi być obecność twoja, święta w serce mój. powszedni chleb mój twój żywy słowo dana mi dziś bez ty nie móc już żyć dla ty mój serce chcieć bić. "" ",Duchu święty (o przyjdź i rozpal nas)
""" prawda jedyna, słowo Jezus z Nazaret, że swój syn posłać człowiek bóg na świat, aby niewinnie cierpieć zemrzeć za nasze grzech i w pohańbić przyjąć wina wszyscy my. dzięki ci, bóg mój, za ten krzyż, który Jezus cierpieć za ja, Jezus cierpieć za ja. uwierzyć w Jezus, przecież on za ty umrzeć i z miłość do my przyjść z niebo na ten świat. błogosławiony, ten kto wierzyć, choć nie widzieć, zaufać dziś bóg, a na wiek być żyć. dzięki ci, bóg mój, za ten krzyż, który Jezus cierpieć za ja, Jezus cierpieć za ja. "" ",Duchu święty ogarnij mnie
""" przed oblicze Pan uniżyć się. Pan sam wywyższyć my. on być ziemia i czas, Pan sam wywyższyć my. wszystek swoje troska oddać on. Pan sam wywyższyć my. on być ziemia i czas, Pan sam wywyższyć my. z pokora stań przed Pan swój. Pan sam wywyższyć my. on być ziemia i czas, Pan sam wywyższyć my. "" ",Duchu święty powiej wiatrem
""" przed tron twój stać wpatrzyć w twój miłość blask do ty Pan podobny stajać się widzieć twój twarz chwała twój wypełniać my obecność twoja blask gdy wielbić ty, wiedzieć być tu chwała, cześć, mądrość, moc, błogosławieństwo, na wiek! na wiek! chwała twój wypełniać my obecność twoja blask gdy wielbić ty, wiedzieć być tu "" ",Duchu święty przyjdź (Niech wiara zagości)
""" błogosławić dusza moja Pan, wszystko, co w ja, on święty imię. błogosławić dusza moja Pan, on dobroć nigdy nie zapominać. on odpuszczać wszystek twoja grzech, leczyć wszystek twoja choroba. okazować swoje miłosierdzie, on ratować ty od zguba. on napełniać twoja życie dobro, aż odnowić się twoja młodość, jak u orzeł. nie odpłacać według grzech, nie chcieć wiecznie gniewać się. on pamiętać żebyć proch, on dobrze wiedzieć! błogosławić dusza moja Pan, wszystko, co w ja, on święty imię. błogosławić dusza moja Pan, on dobroć nigdy nie zapominać. tak jak ojciec nad swoje dziecko, Pan litować się nad pokorny. on oddalać od my nasze wina jak daleko wschód od zachód. jak wysoko niebo być nad ziemia, tak być wielki dobroć dla człowiek, który się go boja. dzień człowiek być jak trawa, kwitnąć on jak polny kwiat. kiedy mocno wiatr zawieja, znikać po nim ślad! błogosławić dusza moja Pan, wszystko, co w ja, on święty imię. błogosławić dusza moja Pan, on dobroć nigdy nie zapominać. błogosławić Pan – wszyscy anioł błogosławić Pan – wszyscy on człowiek błogosławić Pan – wszystek on dzieło błogosławić go! błogosławić dusza moja Pan, wszystko, co w ja, on święty imię. błogosławić dusza moja Pan, on dobroć nigdy nie zapominać. "" ","Duchu święty, cudownym wiatrem jesteś"
""" przychodzić Pan mimo drzwi zamknięty Jezus zmartwychwstały, z ślad męka ty być z my, posłać do my duch. Pan nasz i bóg – uzdrowić nasze życie. "" ","Duszo ma, Pana chwal"
"""przyjaciel mama, co pocieszać ja, gdy o on ramia oprzeć się. w nim nadzieja mama, ulecieć strach. on blisko być, zawsze troszczyć się. Król Król, z my bóg Jezus "" ",Dzielmy się wiarą jak chlebem
""" przyjaciel, chcieć zostać z ty, przy ty chcieć być i nie trzeba bybyć mówić coś, wystarczyć bybyć być bo nie mój duży miłość niż ta, gdy ktoś życie oddawać bybyć ja móc żyć chcieć być z ty, gdy być mi dobrze i kiedy mi źle przyjaciel, otwierać przed ty serce swój. bo nie mój duży miłość niż ta, gdy ktoś życie oddawać bybyć ja móc żyć "" ","Dzięki, o Panie! Składamy dzięki"
""" przyjść jak deszcz, ożywić dziś suchy ziemia nasi serce. przyjść jak deszcz na spragniony świat. dotknąć my tak jak wiatr, rozpędzić smutek, otrzeć łza, zabrać tam, gdzie się w radość zmieniać strach. wszystko dziś nowa staj się. Pan, przyjść i napełnić ja przyjść jak deszcz do spragniony serce tak pragnąć ty, Pan. niech twój moc dziś objawić się, pokazać swój chwała! przyjść jak deszcz, Pan nasz, obmyć gorycz, żal i ból. pozwolić dziś niech nadzieja kwitnąć w my. to, co złe zniknąć gdzieś, nowy dzienia nastawać już. być jak słońce blask w pochmurny czas. wszystko dziś nowa staj się. Pan, przyjść i napełnić ja przyjść jak deszcz do spragniony serce tak pragnąć ty, Pan. niech twój moc dziś objawić się, pokazać swój chwała! "" ",Gdy kiedyś Pan
""" przywołać ja Pan, przywołać ja Pan na pustynia. i niech mój głód ty i moja tęsknota przywołać ty. mowa do mój serce, mowa do mój serce, ty znać on ukryć dolina. tam gdzie usychać piękne winnica, ty wiedzieć gdzie otworzyć ukryć źródło. niech w ja umilknąć pragnienie i myśl, abybyć móc mówić ty. niech słowo miłość i przebaczenie przeniknąć duha mój. mowa do mój serce, mowa do mój serce, ty znać on ukryć dolina. tam gdzie usychać piękne winnica, ty wiedzieć gdzie otworzyć ukryć źródło. "" ",Gdy klęczę przed Tobą
""" radować się dusza mój, wielbić Pan swój. być ci śpiewać z cały siła, sławić ty być za twój dzieło, być ci śpiewać z cały siła, błogosławić być twoja imię. być miłosierny Pan zastęp. moc on ramię nad swój lud. Pan mój zbawca. "" ",Gdy schodzimy się
""" rozpiąć na ramię jak sokół na niebo Chrystus, syn bóg spojrzeć prosić na ziemia. na ruchliwy ulica, zabiegany człowiek. gdy dzienia się już kończyć, a ranek się budzić uśmiechnąć się przyjaźnie z wysoki krzyż do ciężko pracująca, który głód poniże. rozpiąć na ramię jak sokół na niebo Chrystus, syn bóg spojrzeć prosić na ziemia. pocieszyć zrozpaczony, chleb dać głodować modlić ty słuchać i wybaczyć umierająca spojrzeć cierpienie sokół na wszechświat, na ziemia na cichy ciemny kościół, dziecko wzywać ty rozpiąć na ramię jak sokół na niebo Chrystus, syn bóg spojrzeć prosić na ziemia. a gdy być my sądzić, boski miłosierdzie prosić, twoja dziecko, nie sądzić na miara siebie. "" ",GLORIA!!! (Na niedzielę i święta)
""" schować ja pod skrzydło swój ukryć ja w silny dłoń swój. kiedy fala morze chcieć porwać ja z ty wznieść się, podnieść ja Pan Król tybyć spienić woda ja ufać ci – ty być bóg. odpocząć dziś w ramię twój dusza mój w ty być trwać. kiedy fala morze chcieć porwać ja z ty wznieść się, podnieść ja Pan Król tybyć spienić woda ja ufać ci – ty być bóg. "" ",Godzien o godzien jest Bóg
""" serce wielki my dać, zdolny objąć świat. Pan, serce my dać, mężny w walc z zło. zwlec z siebie uczynek stara człowiek, zniszczyć wszystko, co budzić boży gniew, wdziać biel nowa szata w Chrystus pan, nowy człowiek powstanie w każdy z my. serce wielki my dać, zdolny objąć świat. Pan, serce my dać, mężny w walc z zło. nowy człowiek w historia wpisać miłość, wskazać droga odnowa ludzki serce. nowy człowiek przeżyć własne życie, tworzyć wspólny wysiłek nowy świat. serce wielki my dać, zdolny objąć świat. Pan, serce my dać, mężny w walc z zło. nowy człowiek przynieść ziemia pokój, w znak wiara jednoczyć cały świat. nowy człowiek przynieść ziemia wolność, prawda człowiek wyzwolić niszczyć zło. "" ",Gwiazdo zaranna
spocząć na my duch Pan duch mądrość i rozum duch poznanie i bojaźń boży duch miłość i moc. ,Idź w pokoju
""" błogosławić Pan wszystek on dzieło, który by nie kwitnąć gdyby nie cierpienie, błogosławić Pan. błogosławić Pan wszystek łza i żal, każdy moja słabość i upokorzenie, błogosławić Pan. błogosławić Pan wszystek moja rana, na który duch święty staj się balsam, błogosławić Pan. niech ty błogosławić wszystek mój niemoc, ból skrzętnie skrywać po bezsenny noc, błogosławić Pan. błogosławić Pan, że on ufać jeszcze, że ja wciąż uzdrawiać łaska swój deszcz błogosławić Pan. "" ","Ja wierzę, że to Jezus"
""" stać u nasi drzwi, kołatać długo, słowo życie wieczny mieć. kto twój usłyszeć głos i drzwi otworzyć, być trwać w ty, a ty w nim. Pan wielki być miłość twój, tak cierpliwy, wierna i łaskawy chcieć on wnieść do nasi serce. Pan wejść, zamieszkać w my Pan ty dar życie mieć. Pan przyjść, umocnić my, bybyć wytrwały w miłość twój. "" ",Jak Dawid
""" stać dziś, swoje serce, ręka tak wyciągać w podziw dla to, który wszystko dać. stać dziś, swój dusza Pan w ty składać, ja chcieć być jak ty. "" ",Jak dobrze jest dziękować Ci
swoje duch Pan wylać na my dziś ,Jak ożywczy deszcz
""" ta krew z grzech odmywać my, ta krew czynić my biały od śnieg, ta krew z grzech odmywać my, to być baranek święta krew. "" ",Jak wielki jest Bóg
""" tak być mało czas, mało dzień, serce bić tylko kilka chwila. niespokojnie czekać, wiercić się, kiedy w koniec ty przytulić on. tak być mało czas, mało dzień, serce bić tylko kilka chwila. nie wiedzieć, czy ty poznać, ale wiedzieć, że na pewno ty rozpoznać ja. zabrać ja na drugi brzeg, za ty być do niebo biec nie być wcale ciężko, kiedy wiedzieć, że na koniec droga spotkać ty. chociaż być tyle trudny dzień, codziennie blisko niebo, warto żyć! tak być mało czas, mało dzień, serce bić tylko kilka chwila. nie wiedzieć, czy ty poznać, ale wiedzieć, że na pewno ty rozpoznać ja. zabrać ja na drugi brzeg, za ty być do niebo biec mijać godzina, mijać czas, szukać ty na niebo pośród gwiazda. nie wiedzieć czy ty poznać, ale wiedzieć, że na pewno ty rozpoznać ja! zabrać ja na drugi brzeg, za ty być do niebo biec "" ",Jeden chleb
"""tak ja skruszyć, tak ja złam, tak ja wypalić, Pan bybyć zostać tylko ty, bybyć zostać tylko ty. jedynie ty "" ",Jeden jest tylko Pan
""" tchnąć moc, tchnąć miłość, i przenikać życie mój. bo cały serce swój oddawać ci cześć, bo każdy myśl swój oddawać ci cześć i z cały siła swój oddawać ci cześć, o, Pan mój. tchnąć moc, tchnąć miłość, i przenikać życie mój. bo cały serce swój uwielbić ty chcieć, bo każdy myśl swój uwielbić ty chcieć i z cały siła swój uwielbić ty chcieć, o, Pan mój. "" ","Jedyny Pan, prawdziwy Bóg"
ty chór anioł ty chór anioł śpiewać nowa pieśń: chwała baranek! alleluja! alleluja! alleluja! chwała i cześć! ,Jest jedno ciało
""" twój światło być na droga mój nikt nie zgasić go wiedzieć nie zgubić się, bo w ja jasno być świecić ty, w każdy ciemność blask swój ogarniać ja "" ",Jest zakątek na tej Ziemii
"""ty być chleb żywy, kto ty spożywać nie umrzeć, kto w ty uwierzyć, nie być już pragnąć na wiek "" ",Jesteś blisko mnie (Twoja miłość)
""" błogosławiona być imię twój, błogosławiona być imię twój i wywyższyć nad wszelki chwała i cześć, tybyć jedynie Pan być. powstanie! i Pan chwalić, chwalić go na wiek. powstanie! chwalić bóg wciąż, on jedynie być Pan. powstanie! i Pan chwalić, chwalić go na wiek. powstanie! chwalić bóg wciąż, on Pan wszechświat być. "" ",Jesteś Królem
""" ty być dobry, a łaska twój, Pan, trwać wiecznie człowiek z wszyscy naród i ras od pokolenie do pokolenie wielbić ty, alleluja, alleluja wielbić ty za dobroć twój dobry być Pan "" ",Jesteś życiem mym
""" ty być skała zbawienie mój w ty mój siła i moc tybyć mój nadzieja i mój natchnienie do ty wznosić mój głos Pan wierzyć ci, tak wierzyć ci bo twój miłość wierna być tybyć pomoc mój w potrzeba mój Pan przy ty chcieć być. "" ",Jezu mój Jezu
""" gdy droga pomyć los zły i oko mgła zasnuć, mieć w siebie ten ufność, nie lękać się. a kiedy gniew świat ci przysłonić i zazdrość jak chwast zakiełkować, mieć w siebie ten ufność, nie lękać się. ty tylko ja poprowadzić, ty powierzać mój droga. ty tylko ja poprowadzić, Pan mój. poprowadzić jak on prowadzić przez droga prosty z możliwy i pokazać mi jeden, ten jeden z on. a kiedy już głos twój usłyszeć i karmić się być nim co dzienia mieć w siebie ten ufność, nie lękać się. ty tylko ja poprowadzić, ty powierzać mój droga. ty tylko ja poprowadzić, Pan mój. "" ",Jezu Tyś jest
""" ty wskazaćbyć droga do miłość, ty Pan. ty zmienićbyć świat swój zmartwychwstanie, ty Pan, tylko ty jeden wiedzieć, co w mój serce dzieje się, tylko ty, Pan, tylko ty. ty oddaćbyć życie za my wszyscy, ty Pan i dlatego być tak mi bliski, ty Pan, u twój stopa cały świat, ty wiedzieć co czekać my, tylko ty, Pan, tylko ty. w moi serce być w dzienia i w noc, ty Pan, choć mój oko być niewidoczny, ty Pan, tylko ty jeden wiedzieć, co w mój serce dzieje się, tylko ty móc pomóc mi. "" ",Jezus Chrystus moim Panem jest
""" ty światłość dzień, wejśćbyć w moja ciemność, daćbyć mi wzrok, abybyć móc widzieć twój twarz i spojrzenie miłość, w który roztapiać mój strach. być tu, by wielbić, by oddawać chwała, być tu, by wyznać to mój bóg. dobry i łaskawy, cały tak wspaniały, ponad wszystko cenny dla ja być. ty czas Król, wywyższyć na wiek, jaśnieć w niebo twój tron. zejśćbyć na ziemia, by stać się człowiek, by raj stać się mój dom. być tu, by wielbić, by oddawać chwała, być tu, by wyznać to mój bóg. dobry i łaskawy, cały tak wspaniały, ponad wszystko cenny dla ja być. i niczym nie odpłacić się za miłość twój i za twój krzyż. być tu, by wielbić, by oddawać chwała, być tu, by wyznać to mój bóg. dobry i łaskawy, cały tak wspaniały, ponad wszystko cenny dla ja być. "" ",Jezus Chrystus to Panów Pan
"""tybyć być bóg wywyższać ty, tybyć być Pan uwielbiać ty, tybyć nasz odwieczny ojciec, twój stworzenie wielbić ty. amen. "" ",Jezus daje nam zbawienie
""" Ubi Caritas eta amor ubi Caritas deus ibi es. tam gdzie miłość być i dobroć, tam gdzie miłość być, tam mieszek bóg. "" ",Jezus najwyższe Imię
ukazać mi Pan swój twarz dać mi usłyszeć twój głos bo słodki być twój głos i twarz pełny wdzięk ukazać mi Pan swój twarz ,Jezus Namaszczony Pan (Twe imię jak miód)
""" uwielbiać Pan ludzki serce bić dzwon. paść na kolano przed nim lud utrudzić. a on osuszyć twoja łza, on ratunek być ci. a u on stopa paść wróg, bo on bóg niezwyciężony. a niepojęty w swój mądrość, święty, święty bóg miłość . a śpiewać pan ziemia, chwalić wszystek świat strona. "" ",Już teraz we mnie kwitną Twe ogrody
""" uwielbiać imię twoja Pan, wywyższać ty i dawać ci hołd, w przedsionek chwała twój staja, z radość śpiewać ci pieśń. o Pan Jezus chcieć wyznać, że ja kochać ty, ty zmieniać ja. chcieć ci dziękować dziś z wszyscy siła. dawać mi siebie bybyć na wiek żyła. "" ",Każdy dzień upewnia mnie
""" cały ziemia wołać z radość na cześć Pan, radować się, wesele się. cały ziemia wołać z radość na cześć Pan, alleluja, alleluja. śpiewać pan pieśń nowa, albowiem uczynić cud. zwycięstwo on zgotować on prawica i święta ramia on. cały ziemia wołać z radość na cześć Pan, radować się, wesele się. cały ziemia wołać z radość na cześć Pan, alleluja, alleluja. Pan okazać swoje zbawienie, na oko pogan objawić swój sprawiedliwość. wspomnieć na dobroć i na wierność swój dla dom Izrael. cały ziemia wołać z radość na cześć Pan, radować się, wesele się. cały ziemia wołać z radość na cześć Pan, alleluja, alleluja. ujrzeć wszystek kraniec ziemia zbawienie bóg nasze. wołać z radość na cześć Pan, cały ziemia, ciesać się, weselić i grać. cały ziemia wołać z radość na cześć Pan, radować się, wesele się. cały ziemia wołać z radość na cześć Pan, alleluja, alleluja. śpiewać pan przy wtór cytra, przy wtór cytra i przy dźwięk harfa. przy trąba i przy głos róg na oko Pan, Król, się radować. cały ziemia wołać z radość na cześć Pan, radować się, wesele się. cały ziemia wołać z radość na cześć Pan, alleluja, alleluja. niech szumieć mor i wszystko, co w nim żyć, krąg ziemia i on mieszkaniec, rzeka niech klaskać w dłoń, góra niech razem wołać z radość. "" ",Każdy spragniony
""" uwielbiać twoja imię, uwielbiać twoja serce uwielbiać święta rana zadany w krwawy męka uwielbiać twoja droga i z krzyż siedem słowo "" ",Kiedy masz chwile smutne (Matce która pod krzyżem)
""" w cień twoi ręka ukryć prosić ja. gdy boja się, gdy wokół mrok, bądź światło, bądź nadzieja dzień. wszyscy o czym śnić, głos w serce mój. jak ręka, który trzymać ja nad brzeg noc, brzeg dzień. bądź jak skrzydło dwa kiedy braknąć siła. chwycić ja i nieść. niech niebo blisko być. tak bardzo chcieć w ramię skryć się twój. "" ","Kiedy w jasną, spokojną - O Boże"
w swój ramię ja wziąć moc krzyż dodać siła w księga życie wpisać ja do swój chwała przyjąć chcieć. ,Kiedyś wino i chleb
