title,pl,en
Będziemy tańczyć," Będziemy tańczyć,  będziemy śpiewać,  będziemy klaskać w dłonie swe, Kiedy nasz Pan  stanie z nami twarzą w twarz, spotkamy się w Nowym Jeruzalem. Ref: Będziemy tańczyć,  będziemy śpiewać, będziemy klaskać w dłonie swe, Kiedy nasz Pan  w białych szatach stawi nas przed Ojcem Swym, przed Adonai.  Nadejdzie dzień, w którym wszystko spełni się  co dawno już objawił Bóg,  więc mocno trwaj, nigdy nie poddawaj się, nie poddawaj się. ","We will dance, we will sing, we will clap our hands, When our Lord will come face to face with us, we will meet in the New Jerusalem. Ref: We will dance, we will sing, we will clap our hands, When our Lord in white robes puts us in front of His Father, in front of Adonai. There will come a day when everything will come true what God has already revealed, so hold fast, never give up, do not give up."
Będę śpiewał Ci," Będę śpiewał Ci najpiękniejszą pieśń  Z aniołami tak będę śpiewał Ci  Święty, Święty, Święty jest Pan, Zastępów Pan.  Cała ziemia jest pełna Jego chwały ","I will sing to you the most beautiful song With angels, so I will sing you Holy, Holy, Holy is the Lord, the Host of the Lord. The whole earth is full of His glory"
"Błogosław, duszo moja Pana"," Błogosław duszo moja Pana, wszystko, co we mnie, Jego najświętsze imię. Błogosław duszo moja Pana, jego dobroci nigdy nie zapominaj.  On odpuszcza wszystkie twoje grzechy, leczy wszystkie twoje choroby. Okazuje Swoje miłosierdzie,  On ratuje Ciebie od zguby. On napełnia twoje życie dobrem, aż odnowi się twoja młodość, jak u orła. Nie odpłaca według grzechów, nie chce wiecznie gniewać się. On pamięta żeśmy prochem, on najlepiej wie!  Błogosław duszo moja Pana, wszystko, co we mnie, Jego najświętsze imię. Błogosław duszo moja Pana, jego dobroci nigdy nie zapominaj.  Tak jak ojciec nad swoimi dziećmi, Pan lituje się nad pokornym. On oddala od nas nasze winy jak daleko wschód od zachodu. Jak wysoko niebo jest nad ziemią, tak jest wielka dobroć dla ludzi, którzy się Go boją. Dni człowieka są jak trawa,  kwitnie On jak polny kwiat. Kiedy mocniej wiatr zawieje, znika po nim ślad!  Błogosław duszo moja Pana, wszystko, co we mnie, Jego najświętsze imię. Błogosław duszo moja Pana, jego dobroci nigdy nie zapominaj.  Błogosławcie Pana –  wszyscy aniołowie Błogosławcie Pana – wszyscy Jego ludzie Błogosławcie Pana –  wszystkie Jego dzieła Błogosławcie Go!  Błogosław duszo moja Pana, wszystko, co we mnie, Jego najświętsze imię. Błogosław duszo moja Pana, jego dobroci nigdy nie zapominaj. ","Bless my Lord's soul, everything in me, His most holy name. Bless my Lord, my goodness, never forget. He forgives all your sins, heals all your diseases. He shows His mercy, He saves you from perishing. He fills your life with good, until your youth is renewed, like an eagle. He does not repay according to his sins, he does not want to be angry forever. He remembers that we are dust, he knows best! Bless my Lord's soul, everything in me, His most holy name. Bless my Lord, my goodness, never forget. Like the father over his children, the Lord pities the humble. He distances our faults from us as far east from the west. How high the sky is above the earth, so great is goodness for people who fear Him. The days of man are like grass, he blooms like a field flower. When the wind blows harder, the trail disappears! Bless my Lord's soul, everything in me, His most holy name. Bless my Lord, my goodness, never forget. Bless the Lord - all angels Bless the Lord - all His people Bless the Lord - all His works Bless him! Bless my Lord's soul, everything in me, His most holy name. Bless my Lord, my goodness, never forget."
Błogosławcie Pana wszystkie Jego dzieła," Błogosławcie Pana wszystkie Jego dzieła,  które by nie kwitły gdyby nie cierpienie,  Błogosławcie Pana.   Błogosławcie Pana wszystkie łzy i żale, każda moja słabość i upokorzenie,  Błogosławcie Pana.  Błogosławcie Pana wszystkie moje rany, na które Duch Święty staje się balsamem, Błogosławcie Pana.  Niech Cię błogosławią  wszystkie me niemoce, ból skrzętnie skrywany po bezsennej nocy, Błogosławcie Pana.  Błogosławcie Pana, że Mu ufam jeszcze, że mnie wciąż uzdrawia łaski Swojej deszczem Błogosławcie Pana. ","Bless the Lord, all his works that would not flourish were it not for suffering, Bless the Lord. Bless the Lord with all tears and regrets, all my weakness and humiliation, Bless the Lord. Bless the Lord, all my wounds, to which the Holy Spirit becomes a balm, Bless the Lord. May they bless you all my infirmities, pain carefully hidden after a sleepless night, Bless the Lord. Bless the Lord that I trust in him, that he still heals me with His rain. Bless the Lord."
Błogosławione jest Imię Twe," Błogosławione jest Imię Twe, błogosławione jest Imię Twe i wywyższone nad wszelką chwałę i cześć, Tyś jedynie Panem jest.  Powstań! I Pana chwal,  chwal Go na wieki. Powstań! Chwal Boga wciąż,  On jedynie jest Panem. Powstań! I Pana chwal,  chwal Go na wieki. Powstań! Chwal Boga wciąż, On Panem wszechświata jest. ","Blessed is Your Name, blessed is Your name and exalted above all glory and honor, You are only Lord. Arise! And praise God, praise him forever. Arise! Praise God still, He is only Lord. Arise! And praise God, praise him forever. Arise! Praise God still, He is the Lord of the universe."
Cała ziemio wołaj," Cała ziemio wołaj z radości na cześć Pana,  raduj się, wesel się. Cała ziemio wołaj z radości na cześć Pana,  Alleluja, Alleluja.  Śpiewajcie Panu pieśń nową, albowiem uczynił cuda. Zwycięstwo Mu zgotowała Jego prawica i święte ramię Jego.   Cała ziemio wołaj z radości na cześć Pana,  raduj się, wesel się. Cała ziemio wołaj z radości na cześć Pana,  Alleluja, Alleluja.  Pan okazał swoje zbawienie, na oczach pogan objawił swą sprawiedliwość. Wspomniał na dobroć i na wierność swoją dla domu Izraela.  Cała ziemio wołaj z radości na cześć Pana,  raduj się, wesel się. Cała ziemio wołaj z radości na cześć Pana,  Alleluja, Alleluja.  Ujrzały wszystkie krańce ziemi zbawienie Boga naszego. Wołaj z radości na cześć Pana, cała ziemio, cieszcie się, weselcie i grajcie.  Cała ziemio wołaj z radości na cześć Pana,  raduj się, wesel się. Cała ziemio wołaj z radości na cześć Pana,  Alleluja, Alleluja.  Śpiewajcie Panu przy wtórze cytry, przy wtórze cytry i przy dźwięku harfy. Przy trąbach i przy głosie rogu na oczach Pana, Króla, się radujcie.  Cała ziemio wołaj z radości na cześć Pana,  raduj się, wesel się. Cała ziemio wołaj z radości na cześć Pana,  Alleluja, Alleluja.  Niech szumi morze i wszystko, co w nim żyje, krąg ziemi i jego mieszkańcy, rzeki niech klaszczą w dłonie, góry niech razem wołają z radości. ","Let all earth call out of joy in praise of the Lord, rejoice, be glad. The whole earth call out for joy in honor of the Lord, Alleluia, Alleluia. Sing to the Lord a new song, for he has done wonders. His right hand and his holy arm prepared his victory. Let all earth call out of joy in praise of the Lord, rejoice, be glad. The whole earth call out for joy in honor of the Lord, Alleluia, Alleluia. The Lord showed his salvation and revealed his justice in the sight of the Gentiles. He mentioned goodness and loyalty to the home of Israel. Let all earth call out of joy in praise of the Lord, rejoice, be glad. The whole earth call out for joy in honor of the Lord, Alleluia, Alleluia. All the ends of the earth saw the salvation of our God. Rejoice in the honor of the Lord, all earth, rejoice, rejoice and play. Let all earth call out of joy in praise of the Lord, rejoice, be glad. The whole earth call out for joy in honor of the Lord, Alleluia, Alleluia. Sing to the Lord with the tones of the lemons, with the tones of the lemons and at the sound of the harp. With the trumpets and the voice of the corner in the eyes of the Lord, King, rejoice. Let all earth call out of joy in praise of the Lord, rejoice, be glad. The whole earth call out for joy in honor of the Lord, Alleluia, Alleluia. May the sea and everything in it live, the circle of the earth and its inhabitants, let the clapper clap their hands, let the mountains cry out for joy together."
Chcę wywyższać Imię Twe," Chcę wywyższać Imię Twe, chcę zaśpiewać Tobie chwałę. Panie, dziś raduję się, bo przyszedłeś, by mnie zbawić.  Z nieba zstąpiłeś i chcesz prowadzić mnie. Na krzyżu zmarłeś, by mój zapłacić dług.  Z grobu wstałeś i dziś nieba Królem jesteś Ty,  chcę wywyższać Imię Twe. ","I want to exalt Your Name, I want to sing praise to You. Lord, today I rejoice because you came to save me. You came down from heaven and want to lead me. You died on the cross to pay my debt. You have risen from the grave and today is heaven. The King is You, I want to exalt Your Name."
Chlebie najcichszy," Chlebie najcichszy otul mnie swym milczeniem, ukryj mnie w swojej bieli, wchłoń moją ciemność.  Przemień mnie w siebie, bym jak Ty stał się chlebem. Pobłogosław mnie, połam, rozdaj łaknącym braciom.  Chlebie najcichszy otul mnie swym milczeniem, ukryj mnie w swojej bieli, wchłoń moją ciemność.  A ułomki chleba, które zostaną rozdaj tym, którzy nie wierzą w swój głód. ","Hold the softest bread with your silence, hide me in your white, absorb my darkness. Transform me into yourself, so that you, like you, become bread. Bless me, break me, give to the hungry brothers. Hold the softest bread with your silence, hide me in your white, absorb my darkness. A piece of bread that will be given to those who do not believe in their hunger."
Chrystus Pan karmi nas," Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  Duchem całym wielbię Pana, Boga, Zbawcę Jedynego, bo w Nim samym odnajduję wszystką radość życia mego.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  Wielbię bo chciał wejrzeć z nieba na swą sługę uniżony, by mnie odtąd wszyscy ludzie mogli zwać Błogosławioną.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  Sprawił we mnie wielkie dzieła w swej dobroci niepojętej, On, Wszechmocny, On, Największy, On sam jeden zawsze święty.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  On, który przez pokolenia pozostaje miłosierny, wobec tego, kto Mu służy i chce zostać Jemu wierny.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  On, który swą moc objawia, gdy wyniosłość serc uniża, każdy zamiar może zburzyć, który pychą Mu ubliża.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  W mocy Jego odjąć władzę, a wydźwignąć pokornego, wszystkich głodnych zaspokoić, głodem wstrząsnąć bogatego.  Chrystus Pan karmi nas Swoim świętym Ciałem, chwalmy Go na wieki  On się ujął za swym ludem, dziećmi wiary Abrahama, pomny na Swe miłosierdzie, obietnicy Swej nie złamał. ","Christ the Lord nourishes us with His Holy Body, let us praise Him for all time, I glorify the Lord wholeheartedly, God, the only Savior, because in Him I find all the joy of my life. Christ the Lord nourishes us with His holy body, let us praise him for ever, I adore him because he wanted to look down from heaven to his servant humbled, that from now on all men would be able to call the Blessed. Christ the Lord nourishes us with His Holy Body, let us praise him forever. He has done great works in me in his kindness inconceivable, he, the Almighty, he, the greatest, he alone is always holy. Christ the Lord nourishes us with His Holy Body, let us praise Him forever, who for generations remains merciful, who serves Him and wants to be faithful to Him. Christ the Lord nourishes us with His Holy Body, let us praise Him forever, He who reveals His power, when the haughtiness of hearts humbles, every intention can destroy, who pride Him with offenses. Christ the Lord nourishes us with His holy body, let us praise him forever, in his power to take away his power, and lift up the humble, satisfy all the hungry with hunger, shake the rich. Christ the Lord nourishes us with His Holy Body, let us praise him forever. He took charge of his people, the children of Abraham's faith, mindful of His mercy, he did not break His promise."
"Chrystus Pan, Boży Syn"," Chrystus Pan, Boży Syn, Zbawca nasz zgodził się wziąć mój grzech,  za mnie umrzeć chciał Ażebym znał mój ogrom win i wiedział, że Krew Jego zbawia oczyszcza i leczy.  Wywyższony bądź Jezu,  Baranku mój, Tyś jedyny Odkupiciel, Tyś mój Król. Wywyższony bądź Boży Baranku, przed Twym tronem dziś najwyższy składam hołd. ","Christ the Lord, God's Son, our Savior agreed to take my sin, he would die for me, that I would know my greatness of wine, and know that his blood saves purify and heals. Be it high Jesus, O my Lamb, You are the only Redeemer, You are my King. Exalted, be God's Lamb, before Your throne, I pay the highest praise today."
Chwal Adonai," Któż jest jak Bóg? Ponad wszystkim On, wzniosły Jego tron. Góry chylą się, oceany grzmią, Panu dają hołd.  Chwal Adonai, odkąd Słońce budzi się aż zakończy każdy dzień. Chwal Adonai, wszyscy ludzie niech go czczą,  z aniołami wielbią Go. ","Who is like God? He exalted his throne above all. The mountains are bending, the oceans are thundering, they give homage to the Lord. Praise Adonai, since the Sun wakes up until the end of each day. Praise Adonai, let all people worship him, worship him with angels."
Chwalcie Pana niebios," Chwalcie Pana Niebios, chwalcie Go na cytrze, chwalcie Króla świata, bo On Bogiem jest.  Chwal duszo moja Pana mego Króla, chcę chwalić Pana, jak długo będę żył Chcę śpiewać memu Bogu, póki będę istniał, chcę Go wysławiać, śpiewać Alleluja!  Chwalcie Pana Niebios, chwalcie Go na cytrze, chwalcie Króla świata, bo On Bogiem jest.  Szczęśliwy ten, któremu Pan jest pomocą, kto ma nadzieję w Panu Bogu swym, w Bogu, który stworzył Niebo i Ziemię, wszystko, co żyje śpiewa Alleluja!  Chwalcie Pana Niebios, chwalcie Go na cytrze, chwalcie Króla świata, bo On Bogiem jest.  Pan Bóg króluje, wesel się Ziemio, Bóg Twój Syjonie przez pokolenia. On dał Ci życie, On da ci wszystko. Śpiewaj Mu wysławiaj Go Alleluja! ","Praise the Lord of Heaven, praise Him on the zither, praise the King of the world, for He is God. Praise the soul of my Lord my King, I want to praise the Lord, how long I will live. I want to sing to my God, as long as I exist, I want to praise Him, sing Alleluia! Praise the Lord of Heaven, praise Him on the zither, praise the King of the world, for He is God. Happy is the one whom the Lord is helping, who hopes in the Lord his God, in God who created Heaven and Earth, all that lives sings Alleluia! Praise the Lord of Heaven, praise Him on the zither, praise the King of the world, for He is God. God reigns, rejoice the Earth, God your Zion for generations. He gave you life, He will give you everything. Sing to Him, glorify Him Alleluia!"
Chwalcie łąki umajone," Chwalcie łąki umajone, Góry, doliny zielone. Chwalcie, cieniste gaiki, Źródła i kręte strumyki!  Co igra z morza falami, W powietrzu buja skrzydłami, Chwalcie z nami Panią Świata, Jej dłoń nasza wieniec splata.  Ona dzieł Boskich korona, Nad Anioły wywyższona; Choć jest Panią nieba, ziemi, Nie gardzi dary naszymi.  Wdzięcznym strumyki mruczeniem, Ptaszęta słodkim kwileniem, I co czuje, i co żyje, Niech z nami sławi Maryję! ","Praise the umajone meadows, the mountains, the green valleys. Praise, shady gaiki, Sources and winding brooks! What is playing with waves in the sea, Wings in the air, Praise the Lady of the World with us, Her hand weaves the wreath. She works the divine crown, exalted above the Angels; Although she is the Lady of heaven, the earth, she does not disdain our gifts. Graceful brooks purring, Birdie with a sweet whimper, And what he feels and what lives, let him praise Mary with us!"
"Chwalę Ciebie, Panie"," Chwalę Ciebie Panie i uwielbiam. Wznoszę w górę swoje ręce uwielbiając Imię Twe.  Bo wielkiś Ty, wielkie dzieła czynisz dziś. Nie dorówna Tobie nikt, nie dorówna Tobie nikt. ","I praise You, Lord, and I adore You. I raise my hands up, praising Your Name. Because you are great, you make great works today. No one can match you, no one can match you."
Chwała Bogu Ojcu," Chwała Bogu Ojcu  W chwale Jego Syn, Chwałą Tobie Duchu, Tworzysz jedno w Nich!  Śpiewajmy Alleluja Panu, alleluja, alleluja! ","Praise God the Father. In glory, His Son, Glory be to You, You create one in them! Let us sing Alleluia to the Lord, hallelujah, alleluia!"
Ciebie całą duszą pragnę," Ciebie całą duszą pragnę I z tęsknotą oczekuję,  Jak spękana, zeschła ziemia, W czas posuchy wody łaknie.  Boże, jesteś moim Bogiem, Ciebie z troską szukam.  W Twej świątyni ujrzeć pragnę Twą potęgę, moc i chwałę, Bowiem Twoją miłość, Panie, bardziej cenię niźli życie.  Boże, jesteś moim Bogiem, Ciebie z troską szukam.  Póki tylko istnieć będę, pragnę Ciebie chwalić, Boże, Dusza moja pełna szczęścia, będzie śpiewać Ci z radością.  Boże, jesteś moim Bogiem, Ciebie z troską szukam.  Jesteś mym wspomożycielem, cień Twych skrzydeł daje radość, Całym sercem lgnę do Ciebie, Twa prawica mnie prowadzi.  Boże, jesteś moim Bogiem, Ciebie z troską szukam. ","I long for you with all my soul and I look forward to longing. Like a broken, dry land, in the time of drought the water is hungry. God, you are my God, I am looking for you with concern. In Your temple, I want to see Your power, strength and glory, for Your love, Lord, I value more than my life. God, you are my God, I am looking for you with concern. As long as I exist, I want to praise You, God, my soul full of happiness will sing You with joy. God, you are my God, I am looking for you with concern. You are my helper, the shadow of your wings gives joy, I cling to You with all my heart, Your right hand leads me. God, you are my God, I am looking for you with concern."
Do Ciebie Panie," Do Ciebie Panie woła dusza moja, Tęskni ciało me. Gdy nie ma Cię, moje serce ogarnia lęk. Przyjdź dotknij mnie, rozraduj mnie.  Jezu, pragnę blisko Ciebie być,  Jezu, w Twych ramionach się skryć. Słodycz Twą poznawać co dnia, Przy sercu Twym trwać. ","To You, Lord, my soul cries, I miss my flesh. When you are not there, my heart is overcome with fear. Come touch me, rejoice me. Jesus, I want to be close to You, Jesus, hide in Your arms. Let your sweetness be known every day, be with your heart."
Do mnie wróć," Do mnie wróć, zbawię Cię,  cała ziemio! Bo jam jest Pan i twój Bóg jedyny.   Przyjdźcie tu, zbawi was,  przyjdźcie do Pana.  Bo On wasz Pan i wasz Bóg jedyny. ","Return to me, I will save you, all earth! For I am the Lord and your only God. Come here, save you, come to the Lord. Because He is your Lord and your only God."
Dobry jest Pan," Dobry jest Pan dla ufnych,  dla duszy, która szuka Go.  Wołaj całym sercem do Pana, niech łzy twe płyną jak rzeka Powstań i wołaj po nocy, jak wody wylewaj swe serce.  Dobry jest Pan dla ufnych,  dla duszy, która szuka Go.  Nie jest zamiarem Boga  odtrącić na wieki, gdy udręczył, znów się zlituje  w niezmiernej swej dobroci, Wzywajmy Jego imienia z otchłani grobu, On rzeknie: „Nie bójcie się” i powstaniemy.  Dobry jest Pan dla ufnych,  dla duszy, która szuka Go.  Wspomnij Panie o tym, co nas spotkało, spojrzyj i przypatrz się naszej hańbie: słudzy panują nad nami;  Ty ocal nas z ich ręki. Nawróć nas, a wrócimy do Ciebie. ","The Lord is good for the faithful, for the soul who seeks him. Call with all your heart to the Lord, let your tears flow like a river. Rise up and cry after the night, pour out your heart like water. The Lord is good for the faithful, for the soul who seeks him. It is not God's intention to turn away forever, when he has suffered, he will again have mercy in immense goodness, Let us call his name from the abyss of the grave, he will say: ""Do not be afraid"" and let us rise. The Lord is good for the faithful, for the soul who seeks him. Remember, Lord, what has happened to us, look and look at our shame: the servants rule over us; You save us from their hands. Convert us and we will return to You."
Dotknij Panie moich oczu," Dotknij Panie moich oczu,  abym przejrzał. Dotknij Panie moich warg, abym przemówił uwielbieniem. Dotknij Panie mego serca i oczyść je. Niech Twój Święty Duch  dziś ogarnia mnie. ","Touch the Lord of my eyes, that I may see. Touch Lord of my lips, let me speak with adoration. Touch the Lord of my heart and cleanse it. Let Your Holy Spirit overwhelm me today."
Duchu miłości," Duchu Miłości wylewaj się na nas Z przebitego serca Jezusa, Jezusa. ","Spirit of Love pour out on us From the pierced heart of Jesus, Jesus."
Duchu święty (o przyjdź i rozpal nas)," Duchu Święty!  Przyjdź i rozpal nas I utul nas, miłość nam daj. ","Holy Spirit! Come and inflame us and comfort us, give us love."
Duchu święty ogarnij mnie," Duchu Święty, ogarnij mnie! Otwórz oczy mego serca, napełnij miłością! Duchu Święty, ja kocham Cię! Niech Twa święta wola pełni się! ","Holy Spirit, embrace me! Open the eyes of my heart, fill with love! Holy Spirit, I love You! Let Your holy will be done!"
Duchu święty powiej wiatrem," Duchu Święty, powiej wiatrem I z mocą na nas zstąp Bądź miłością w naszych sercach Światłem ogarnij nas  Daj nowe oczy, ześlij swój ogień I jedność z Tobą daj  Z czterech wiatrów, przybądź Duchu Powiej mocą, ożyw nas Bądź wolnością w naszych sercach Życiem wypełnij nas  Daj nowe oczy, ześlij swój ogień I jedność z Tobą daj ","Holy Spirit, wind and power on us, come down Be love in our hearts Light embrace us Give new eyes, send your fire And unity with You give From the four winds, come in Spirit, Create with power, revive us Be freedom in our hearts Life fill us up Give new eyes, send your fire And give me unity"
Duchu święty przyjdź (Niech wiara zagości)," Duchu Święty przyjdź  Niech wiara zagości, Nadzieja zagości,  Niech miłość zagości w nas. ","Holy Spirit come Let faith come in, Hope will enter, Let love come into us."
"Duchu święty, cudownym wiatrem jesteś","Duchu święty, cudownym  wiatrem jesteś wkoło nas! Nie odchodź! ","Holy spirit, you are a wonderful wind around us! Do not go!"
