,Dzień tygodnia,Pierwsze czytanie,Psalm_ref,Psalm,Drugie czytanie,Werset przed Ewangelią,Ewangelia
2018-12-28,Friday,"Umiłowani: Nowina, którą usłyszeliśmy od Jezusa Chrystusa i którą wam głosimy, jest taka: Bóg jest światłością, a nie ma w Nim żadnej ciemności. Jeżeli mówimy, że mamy z Nim współuczestnictwo, a chodzimy w ciemności, kłamiemy i nie postępujemy zgodnie z prawdą. Jeżeli zaś chodzimy w światłości, tak jak On sam trwa w światłości, wtedy mamy jedni z drugimi współuczestnictwo, a krew Jezusa, Syna Jego, oczyszcza nas z wszelkiego grzechu. Jeśli mówimy, że nie mamy grzechu, to samych siebie oszukujemy i nie ma w nas prawdy. Jeżeli wyznajemy nasze grzechy, Bóg będąc wiernym i sprawiedliwym odpuści je nam i oczyści nas z wszelkiej nieprawości. Jeśli powiemy, że nie zgrzeszyliśmy, czynimy Go kłamcą i nie ma w nas Jego nauki. Dzieci moje, piszę wam to dlatego, żebyście nie grzeszyli. Jeśliby nawet ktoś zgrzeszył, mamy Rzecznika wobec Ojca, Jezusa Chrystusa sprawiedliwego. On bowiem jest ofiarą przebłagalną za nasze grzechy, i nie tylko za nasze, lecz również za grzechy całego świata.",Naszą pomocą jest nasz Pan i Stwórca,"Gdyby Pan nie był po naszej stronie,   gdy ludzie przeciw nam powstali,  wtedy pochłonęliby nas żywcem,   gdy gniew ich przeciw nam zapłonął.Wówczas zatopiłaby nas woda,   potok by popłynął nad nami,  wówczas potoczyłyby się nad nami   wezbrane wody.Dusza nasza jak ptak się wyrwała z sidła ptaszników,   sidło się podarło i zostaliśmy uwolnieni.  Nasza pomoc w imieniu Pana,   który stworzył niebo i ziemię.",None,"Ciebie, Boże, chwalimy, Ciebie, Panie, wysławiamy, Ciebie wychwala Męczenników zastęp świetlany.","Gdy Mędrcy odjechali, oto anioł Pański ukazał się Józefowi we śnie i rzekł: „Wstań, weź Dziecię i Jego Matkę i uchodź do Egiptu; pozostań tam, aż ci powiem; bo Herod będzie szukał Dziecięcia, aby Je zgładzić”. On wstał, wziął w nocy Dziecię i Jego Matkę i udał się do Egiptu; tam pozostał aż do śmierci Heroda. Tak miało się spełnić słowo, które Pan powiedział przez Proroka: „Z Egiptu wezwałem Syna mego”. Wtedy Herod widząc, że go Mędrcy zawiedli, wpadł w straszny gniew. Posłał oprawców do Betlejem i całej okolicy i kazał pozabijać wszystkich chłopców w wieku do lat dwóch, stosownie do czasu, o którym się dowiedział od Mędrców. Wtedy spełniły się słowa proroka Jeremiasza: „Krzyk usłyszano w Rama, płacz i jęk wielki. Rachel opłakuje swe dzieci i nie chce utulić się w żalu, bo ich już nie ma”."
2018-12-27,Thursday,"Umiłowani: To wam oznajmiamy, co było od początku, cośmy usłyszeli o Słowie życia, co ujrzeliśmy własnymi oczami, na co patrzyliśmy i czego dotykały nasze ręce, bo życie objawiło się. Myśmy je widzieli, o nim świadczymy i głosimy wam życie wieczne, które było w Ojcu, a nam zostało objawione, oznajmiamy wam, cośmy ujrzeli i słyszeli, abyście i wy mieli łączność z nami. A mieć z nami łączność znaczy: mieć ją z Ojcem i z Jego Synem Jezusem Chrystusem. Piszemy to w tym celu, aby nasza radość była pełna.",Niech sprawiedliwi weselą się w Panu,"Pan króluje, wesel się, ziemio,    radujcie się, liczne wyspy!   Obłok i ciemność wokół Niego,    prawo i sprawiedliwość podstawą Jego tronu.Góry jak wosk topnieją przed obliczem Pana,    przed obliczem władcy całej ziemi.   Jego sprawiedliwość rozgłaszają niebiosa,    a wszystkie ludy widzą Jego chwałę.Światło wschodzi dla sprawiedliwego    i radość dla ludzi prawego serca.   Radujcie się w Panu, sprawiedliwi,    i sławcie Jego święte imię.",None,"Ciebie, Boże, chwalimy, Ciebie, Panie, wysławiamy, Ciebie wychwala przesławny chór Apostołów.","Pierwszego dnia po szabacie Maria Magdalena pobiegła i przybyła do Szymona Piotra i do drugiego ucznia, którego Jezus kochał, i rzekła do nich: „Zabrano Pana z grobu i nie wiemy, gdzie Go położono”. Wyszedł więc Piotr i ów drugi uczeń i szli do grobu. Biegli oni obydwaj razem, lecz ów drugi uczeń wyprzedził Piotra i przybył pierwszy do grobu. A kiedy się nachylił, zobaczył leżące płótna, jednakże nie wszedł do środka. Nadszedł potem także Szymon Piotr, idący za nim. Wszedł on do wnętrza grobu i ujrzał leżące płótna oraz chustę, która była na Jego głowie, leżącą nie razem z płótnami, ale oddzielnie zwiniętą na jednym miejscu. Wtedy wszedł do wnętrza także i ów drugi uczeń, który przybył pierwszy do grobu. Ujrzał i uwierzył."
2018-12-26,Wednesday,"Szczepan pełen łaski i mocy działał cuda i znaki wielkie wśród ludu. Niektórzy zaś z synagogi, zwanej synagogą Libertynów i Cyrenejczyków, i Aleksandryjczyków, i tych, którzy pochodzili z Cylicji i z Azji, wystąpili do rozprawy ze Szczepanem. Nie mogli jednak sprostać mądrości i Duchowi, z którego natchnienia przemawiał. Gdy usłyszeli to, co mówił, zawrzały gniewem ich serca i zgrzytali zębami na niego. A on pełen Ducha Świętego patrzył w niebo i ujrzał chwałę Bożą i Jezusa, stojącego po prawicy Boga. I rzekł: „Widzę niebo otwarte i Syna Człowieczego, stojącego po prawicy Boga”. A oni podnieśli wielki krzyk, zatkali sobie uszy i rzucili się na niego wszyscy razem. Wyrzucili go poza miasto i kamienowali, a świadkowie złożyli swe szaty u stóp młodzieńca, zwanego Szawłem. Tak kamienowali Szczepana, który modlił się: „Panie Jezu, przyjmij ducha mego!” A gdy osunął się na kolana, zawołał głośno: „Panie, nie poczytaj im tego grzechu”. Po tych słowach skonał."," W ręce Twe, Panie, składam ducha mego","Bądź dla mnie skałą schronienia,   warownią, która ocala.  Ty bowiem jesteś moją skałą i twierdzą,   kieruj mną i prowadź przez wzgląd na swe imię.W ręce Twoje powierzam ducha mego:   Ty mnie odkupisz, Panie, Boże.  Weselę się i cieszę się Twoim miłosierdziem,   boś wejrzał na moją nędzę.W Twoim ręku są moje losy,   wyrwij mnie z rąk wrogów i prześladowców.  Niech Twoje oblicze zajaśnieje nad Twym sługą:   wybaw mnie w swym miłosierdziu.",None,"Błogosławiony, który przybywa w imię Pańskie, Pan jest Bogiem i daje nam światło.","Jezus powiedział do swoich Apostołów: „Miejcie się na baczności przed ludźmi. Będą was wydawać sądom i w swych synagogach będą was biczować. Nawet przed namiestników i królów będą was wodzić z mego powodu, na świadectwo im i poganom. Kiedy was wydadzą, nie martwcie się o to, jak ani co macie mówić. W owej bowiem godzinie będzie wam poddane, co macie mówić. Gdyż nie wy będziecie mówili, lecz Duch Ojca waszego będzie mówił przez was. Brat wyda brata na śmierć i ojciec syna; dzieci powstaną przeciw rodzicom i o śmierć ich przyprawią. Będziecie w nienawiści u wszystkich z powodu mego imienia. Lecz kto wytrwa do końca, ten będzie zbawiony""."
2018-12-25,Tuesday,"O jak są pełne wdzięku na górach nogi zwiastuna radosnej nowiny, który ogłasza pokój, zwiastuje szczęście, który obwieszcza zbawienie, który mówi do Syjonu: „Twój Bóg zaczął królować”. Głos! Twoi strażnicy podnoszą głos, razem wznoszą okrzyki radosne, bo oglądają na własne oczy powrót Pana na Syjon. Zabrzmijcie radosnym śpiewaniem, wszystkie ruiny Jeruzalem! Bo Pan pocieszył swój lud, odkupił Jeruzalem. Pan obnażył już swe ramię święte na oczach wszystkich narodów; I wszystkie krańce ziemi zobaczą zbawienie naszego Boga.",Ziemia ujrzała swego Zbawiciela,"Śpiewajcie Panu pieśń nową,    albowiem uczynił cuda.   Zwycięstwo Mu zgotowała Jego prawica    i święte ramię Jego.Pan okazał swoje zbawienie,    na oczach pogan objawił swoją sprawiedliwość.   Wspomniał na dobroć i wierność swoją    dla domu Izraela.Ujrzały wszystkie krańce ziemi    zbawienie Boga naszego.   Wołaj z radości na cześć Pana, cała ziemio,    cieszcie się, weselcie i grajcie.Śpiewajcie Panu przy wtórze cytry,    przy wtórze cytry i przy dźwięku harfy.   Przy trąbach i przy dźwięku rogu,    na oczach Pana i Króla się radujcie.","Wielokrotnie i na różne sposoby przemawiał niegdyś Bóg do ojców przez proroków, a w tych ostatecznych dniach przemówił do nas przez Syna. Jego to ustanowił dziedzicem wszystkich rzeczy, przez Niego też stworzył wszechświat. Ten Syn, który jest odblaskiem Jego chwały i odbiciem Jego istoty, podtrzymuje wszystko słowem swej potęgi, a dokonawszy oczyszczenia z grzechów, zasiadł po prawicy Majestatu na wysokościach. On o tyle stał się wyższym od aniołów, o ile odziedziczył wyższe od nich imię. Do którego bowiem z aniołów powiedział kiedykolwiek: „Ty jesteś moim Synem, Jam Cię dziś zrodził?” I znowu: „Ja będę Mu ojcem, a On będzie mi synem”. Skoro zaś znowu wprowadzi Pierworodnego na świat, powie: „Niech Mu oddają pokłon wszyscy aniołowie Boży”.","Zajaśniał nam dzień święty, pójdźcie narody, oddajcie pokłon Panu, bo wielka światłość zstąpiła dzisiaj na ziemię.","Na początku było Słowo, a Słowo było u Boga, i Bogiem było Słowo. Ono było na początku u Boga. Wszystko przez Nie się stało, a bez Niego nic się nie stało, co się stało. W Nim było życie, a życie było światłością ludzi, a światłość w ciemności świeci i ciemność jej nie ogarnęła. Pojawił się człowiek posłany przez Boga, Jan mu było na imię. Przyszedł on na świadectwo, aby zaświadczyć o Światłości, by wszyscy uwierzyli przez niego. Nie był on światłością, lecz posłanym, aby zaświadczyć o Światłości. Była Światłość prawdziwa, która oświeca każdego człowieka, gdy na świat przychodzi. Na świecie było Słowo, a świat stał się przez Nie, lecz świat Go nie poznał. Przyszło do swojej własności, a swoi Go nie przyjęli. Wszystkim tym jednak, którzy Je przyjęli, dało moc, aby się stali dziećmi Bożymi, tym, którzy wierzą w imię Jego, którzy ani z krwi, ani z żądzy ciała, ani z woli męża, ale z Boga się narodzili. Słowo stało się ciałem i zamieszkało między nami. I oglądaliśmy Jego chwałę, chwałę, jaką Jednorodzony otrzymuje od Ojca, pełen łaski i prawdy. Jan daje o Nim świadectwo i głośno woła w słowach: „Ten był, o którym powiedziałem: Ten, który po mnie idzie, przewyższył mnie godnością, gdyż był wcześniej ode mnie”. Z Jego pełności wszyscyśmy otrzymali łaskę po łasce. Podczas gdy Prawo zostało nadane przez Mojżesza, łaska i prawda przyszły przez Jezusa Chrystusa. Boga nikt nigdy nie widział. Jednorodzony Bóg, który jest w łonie Ojca, o Nim pouczył."
2018-12-24,Monday,"Gdy król Dawid zamieszkał w swoim domu, a Pan poskromił wokoło wszystkich jego wrogów, rzekł król do proroka Natana: „Spójrz, ja mieszkam w pałacu cedrowym, a Arka Boża mieszka w namiocie”. Natan powiedział do króla: „Uczyń wszystko, co zamierzasz w sercu, gdyż Pan jest z tobą”. Lecz tej samej nocy skierował Pan do Natana następujące słowa: „Idź i powiedz mojemu słudze Dawidowi: To mówi Pan: ""Czy ty zbudujesz Mi dom na mieszkanie? Zabrałem cię z pastwiska spośród owiec, abyś był władcą nad ludem moim, nad Izraelem. I byłem z tobą wszędzie, dokąd się udałeś, wytraciłem przed tobą wszystkich twoich nieprzyjaciół. Dam ci sławę największych ludzi na ziemi. Wyznaczę miejsce mojemu ludowi, Izraelowi, i osadzę go tam, i będzie mieszkał na swoim miejscu, a nie poruszy się więcej, a ludzie nikczemni nie będą go już uciskać jak dawniej. Od czasu kiedy ustanowiłem sędziów nad ludem moim izraelskim, obdarzyłem cię pokojem ze wszystkimi wrogami. Tobie też Pan zapowiedział, że ci zbuduje dom. Kiedy wypełnią się twoje dni i spoczniesz obok swych przodków, wtedy wzbudzę po tobie potomka twojego, który wyjdzie z twoich wnętrzności, i utwierdzę jego królestwo. Ja będę mu ojcem, a on będzie Mi synem. Przede Mną dom twój i twoje królestwo będzie trwać na wieki"".",Na wieki będę sławił łaski Pana,"Na wieki będę sławił łaski Pana,  moimi ustami będę głosił Twą wierność  przez wszystkie pokolenia. Albowiem powiedziałeś:  „Na wieki ugruntowana jest łaska”  utrwaliłeś swą wierność w niebiosach.„Zawarłem przymierze z moim wybrańcem,  przysiągłem mojemu słudze, Dawidowi: Utrwalę twoje potomstwo na wieki,  i tron twój umocnię na wszystkie pokolenia”.On będzie wołał do Mnie: „Ty jesteś moim Ojcem,  moim Bogiem, opoką mego zbawienia”. Na wieki zachowam dla niego łaskę,  i trwałe będzie moje z nim przymierze.",None,"Wschodzie, blasku światła wiecznego i słońce sprawiedliwości, przyjdź i oświeć siedzących w ciemnościach i mroku śmierci.","Zachariasz, ojciec Jana, został napełniony Duchem Świętym i prorokował, mówiąc: „Błogosławiony Pan, Bóg Izraela, bo lud swój nawiedził i wyzwolił, i wzbudził dla nas moc zbawczą w domu swego sługi Dawida: jak zapowiedział od dawna przez usta swych świętych proroków; że nas wybawi od naszych nieprzyjaciół i z ręki wszystkich, którzy nas nienawidzą; że naszym ojcom okaże miłosierdzie i wspomni na swe święte przymierze, na przysięgę, którą złożył ojcu naszemu, Abrahamowi. Da nam, że z mocy nieprzyjaciół wyrwani służyć Mu będziemy bez lęku, w pobożności i sprawiedliwości przed Nim, po wszystkie dni nasze. A i ty, dziecię, zwać się będziesz prorokiem Najwyższego, gdyż pójdziesz przed Panem przygotować Mu drogi; Jego ludowi dasz poznać zbawienie, przez odpuszczenie mu grzechów, dzięki serdecznej litości naszego Boga, z jaką nas nawiedzi z wysoka Wschodzące Słońce, by światłem stać się dla tych, co w mroku i cieniu śmierci mieszkają, aby nasze kroki skierować na drogę pokoju”."
2018-12-23,Sunday,"To mówi Pan: A ty, Betlejem Efrata, najmniejsze jesteś wśród plemion judzkich. Z ciebie wyjdzie Ten, który będzie władał w Izraelu, a pochodzenie Jego od początku, od dni wieczności. Przeto Pan wyda ich aż do czasu, kiedy porodzi, mająca porodzić. Wtedy reszta braci Jego powróci do synów Izraela. I powstanie, i będzie ich pasterzem mocą Pana, przez majestat imienia Pana Boga swego. Będą żyli bezpiecznie, bo Jego władza rozciągnie się aż do krańców ziemi. A On będzie pokojem.","Odnów nas, Boże, i daj nam zbawienie","Usłysz, Pasterzu Izraela,    Ty, który zasiadasz nad cherubinami.   Wzbudź swą potęgę   i przyjdź nam z pomocą.Powróć, Boże Zastępów,    wejrzyj z nieba, spójrz i nawiedź tę winorośl   I chroń to, co zasadziła Twoja prawica,    latorośl, którą umocniłeś dla siebie.Wyciągnij rękę nad mężem Twojej prawicy,    nad synem człowieczym, którego umocniłeś w swej służbie.   Już więcej nie odwrócimy się od Ciebie,    daj nam nowe życie, a będziemy Cię chwalili.","Chrystus przychodząc na świat mówi: „Ofiary ani daru nie chciałeś, aleś Mi utworzył ciało; całopalenia i ofiary za grzech nie podobały się Tobie. Wtedy rzekłem: Oto idę. W zwoju księgi napisano o Mnie, abym spełniał wolę Twoją, Boże”. Wyżej powiedział: „Ofiar, darów, całopaleń i ofiar za grzechy nie chciałeś i nie podobały się Tobie”, choć składa się je na podstawie Prawa. Następnie powiedział: „Oto idę, abym spełniał wolę Twoją”. Usuwa jedną ofiarę, aby ustanowić inną. Na mocy tej woli uświęceni jesteśmy przez ofiarę ciała Jezusa Chrystusa raz na zawsze.","Oto ja służebnica Pańska, niech mi się stanie według twego słowa.","W tym czasie Maryja wybrała się i poszła z pośpiechem w góry do pewnego miasta w pokoleniu Judy. Weszła do domu Zachariasza i pozdrowiła Elżbietę. Gdy Elżbieta usłyszała pozdrowienie Maryi, poruszyło się dzieciątko w jej łonie, a Duch Święty napełnił Elżbietę. Wydała ona okrzyk i powiedziała: „Błogosławiona jesteś między niewiastami i błogosławiony jest owoc Twojego łona. A skądże mi to, że Matka mojego Pana przychodzi do mnie? Oto, skoro głos Twego pozdrowienia zabrzmiał w moich uszach, poruszyło się z radości dzieciątko w łonie moim. Błogosławiona jesteś, któraś uwierzyła, że spełnią się słowa powiedziane Ci od Pana”."
2018-12-22,Saturday,"Gdy Anna odstawiła Samuela od piersi, wzięła go z sobą w drogę, zabierając również trzyletniego cielca, jedną efę mąki i bukłak wina. Przyprowadziła go do domu Pana, do Szilo. Chłopiec był jeszcze mały. Zabili cielca i poprowadzili chłopca przed Helego. Powiedziała ona wówczas: „Pozwól, panie mój! Na twoje życie! To ja jestem ową kobietą, która stała tu przed tobą i modliła się do Pana. O tego chłopca się modliłam, i Pan spełnił moją prośbę, którą do Niego zanosiłam. Oto ja oddaję go Panu. Na wszystkie dni, jak długo będzie żył, zostaje oddany na własność Pana”. I oddali tam pokłon Panu.", Całym swym sercem raduję się w Panu,"Raduje się me serce w Panu,    moc moja ku Panu się wznosi.   Rozwarły się me usta na wrogów moich,    gdyż cieszyć się mogę Twoją pomocą.Łuki siłaczy się łamią,    słabi przepasują się mocą,   Za chleb najmują się syci, a odpoczywają głodni,    niepłodna rodzi siedmioro, a więdnie bogata w dzieci.To Pan daje śmierć i życie,    w grób wtrąca i zeń wywodzi.   Pan uboży i wzbogaca,   poniża i wywyższa.Z pyłu podnosi biedaka,    z barłogu dźwiga nędzarza,   By go wśród książąt posadzić,    by dać mu stolicę chwały.",None,"Królu narodów, kamieniu węgielny Kościoła, przyjdź i zbaw człowieka, którego z mułu utworzyłeś.","W owym czasie Maryja rzekła: „Wielbi dusza moja Pana, i raduje się duch mój w Bogu, Zbawcy moim. Bo wejrzał na uniżenie swojej służebnicy, oto bowiem odtąd błogosławić mnie będą wszystkie pokolenia. Gdyż wielkie rzeczy uczynił mi Wszechmocny, święte jest imię Jego. A Jego miłosierdzie z pokolenia na pokolenia nad tymi, co się Go boją. Okazał moc swego ramienia, rozproszył pyszniących się zamysłami serc swoich. Strącił władców z tronu, a wywyższył pokornych. Głodnych nasycił dobrami, a bogatych z niczym odprawił. Ujął się za swoim sługą, Izraelem, pomny na swe miłosierdzie. Jak obiecał naszym ojcom, Abrahamowi i jego potomstwa na wieki”. Maryja pozostała u Elżbiety około trzech miesięcy; potem wróciła do domu."
2018-12-21,Friday,"Cicho! Ukochany mój! Oto on! Oto nadchodzi! Biegnie przez góry, skacze po pagórkach. Umiłowany mój podobny do gazeli, do młodego jelenia. Oto stoi za naszym murem, patrzy przez okno, zagląda przez kraty. Miły mój odzywa się i mówi do mnie: „Po wstań, przyjaciółko moja, piękna moja, i pójdź! Bo oto minęła już zima, deszcz ustał i przeszedł. Na ziemi widać już kwiaty, nadszedł czas przycinania winnic, i głos synogarlicy już słychać w naszej krainie. Drzewo figowe wydało zawiązki owoców i winne krzewy kwitnące już pachną. Powstań, przyjaciółko moja, piękna moja, i pójdź! Gołąbko moja, ukryta w zagłębieniach skały, w szczelinach przepaści, ukaż mi swą twarz, daj mi usłyszeć swój głos! Bo słodki jest głos twój i twarz pełna wdzięku”.",Pieśń nową Panu radośnie śpiewajmy,"Sławcie Pana na cytrze,   grajcie Mu na harfie o dziesięciu strunach.  Śpiewajcie Mu pieśń nową,   pełnym głosem śpiewajcie Mu wdzięcznie.Zamiary Pana trwają na wieki,   zamysły Jego serca przez pokolenia.  Błogosławiony lud, którego Pan jest Bogiem,   naród, który On wybrał na dziedzictwo dla siebie.Dusza nasza oczekuje Pana,    On jest naszą pomocą i tarczą.   Raduje się w Nim nasze serce,    ufamy Jego świętemu imieniu.",None,"Emmanuelu, nasz Królu i prawodawco, przyjdź nas zbawić, nasz Panie i Boże.","W tym czasie Maryja wybrała się i poszła z pośpiechem w góry do pewnego miasta w pokoleniu Judy. Weszła do domu Zachariasza i pozdrowiła Elżbietę. Gdy Elżbieta usłyszała pozdrowienie Maryi, poruszyło się dzieciątko w jej łonie, a Duch Święty napełnił Elżbietę. Wydała ona okrzyk i powiedziała: „Błogosławiona jesteś między niewiastami i błogosławiony jest owoc Twojego łona. A skądże mi to, że Matka mojego Pana przychodzi do mnie? Oto, skoro głos Twego pozdrowienia zabrzmiał w moich uszach, poruszyło się z radości dzieciątko w łonie moim. Błogosławiona jesteś, któraś uwierzyła, że spełnią się słowa powiedziane Ci od Pana”."
2018-12-20,Thursday,"Pan przemówił do Achaza tymi słowami: „Proś dla siebie o znak od Pana, Boga twego, czy to głęboko w Szeolu, czy to wysoko w górze”. Lecz Achaz odpowiedział: „Nie będę prosił i nie będę wystawiał Pana na próbę”. Wtedy rzekł Izajasz: „Słuchajcie więc, domu Dawidowy: Czyż mało wam naprzykrzać się ludziom, iż naprzykrzacie się także mojemu Bogu? Dlatego Pan sam da wam znak: Oto Panna pocznie i porodzi Syna, I nazwie Go imieniem Emanuel”.","Przybądź, o Panie, Tyś jest Królem chwały","Do Pana należy ziemia i wszystko, co ją napełnia,    świat i jego mieszkańcy.   Albowiem On go na morzach osadził    i utwierdził ponad rzekami.Kto wstąpi na górę Pana,    kto stanie w Jego świętym miejscu?   Człowiek rąk nieskalanych i czystego serca,    który nie skłonił swej duszy ku marnościom.On otrzyma błogosławieństwo od Pana    i zapłatę od Boga, swego Zbawcy.   Oto pokolenie tych, którzy Go szukają,    którzy szukają oblicza Boga Jakuba.",None,"Kluczu Dawida, który otwierasz bramy wiecznego królestwa, przyjdź i wyprowadź z więzienia jeńca siedzącego w ciemnościach.","Bóg posłał anioła Gabriela do miasta w Galilei, zwanego Nazaret, do Dziewicy poślubionej mężowi, imieniem Józef, z rodu Dawida; a Dziewicy było na imię Maryja. Anioł wszedł do Niej i rzekł: „Bądź pozdrowiona, pełna łaski, Pan z Tobą”. Ona zmieszała się na te słowa i rozważała, co miałoby znaczyć to pozdrowienie.ecz anioł rzekł do Niej: „Nie bój się, Maryjo, znalazłaś bowiem łaskę u Boga. Oto poczniesz i porodzisz Syna, któremu nadasz imię Jezus. Będzie On wielki i będzie nazwany Synem Najwyższego, a Pan Bóg da Mu tron Jego ojca, Dawida. Będzie panował nad domem Jakuba na wieki, a Jego panowaniu nie będzie końca”. Na to Maryja rzekła do anioła: „Jakże się to stanie, skoro nie znam męża?” Anioł Jej odpowiedział: „Duch Święty zstąpi na Ciebie i moc Najwyższego osłoni Cię. Dlatego też Święte, które się narodzi, będzie nazwane Synem Bożym. A oto również krewna Twoja, Elżbieta, poczęła w swej starości syna i jest już w szóstym miesiącu ta, która uchodzi za niepłodną. Dla Boga bowiem nie ma nic niemożliwego”. Na to rzekła Maryja: „Oto ja służebnica Pańska, niech mi się stanie według twego słowa”. Wtedy odszedł od Niej anioł."
2018-12-19,Wednesday,"W Sorea, w pokoleniu Dana, żył pewien mąż imieniem Manoach. Żona jego była niepłodna i nie rodziła. Anioł Pański ukazał się owej kobiecie mówiąc jej: „Otoś teraz niepłodna i nie rodziłaś, ale poczniesz i porodzisz syna. Lecz odtąd strzeż się: nie pij wina ani sycery i nie jedz nic nieczystego. Oto poczniesz i porodzisz syna, a brzytwa nie dotknie jego głowy, gdyż chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia. On to zacznie wybawiać Izraelitów z rąk filistyńskich”. Poszła więc kobieta do swego męża i tak rzekła do niego: „Przyszedł do mnie mąż Boży, którego oblicze było jakby oblicze anioła Bożego, pełne dostojeństwa. Nie pytałam go, skąd przybył, a on nie oznajmił mi swego imienia. Rzekł do mnie: ""Oto poczniesz i porodzisz syna, lecz odtąd nie pij wina ani sycery, ani nie jedz nic nieczystego, bo chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia aż do swojej śmierci"". Porodziła więc owa kobieta syna i nazwała go imieniem Samson. Chłopiec rósł, a Pan mu błogosławił. Duch zaś Pana począł na niego oddziaływać.","Będę opiewał chwałę Twoją, Boże","Bądź dla mnie skałą schronienia   i zamkiem warownym, aby mnie ocalić.  Bo Ty jesteś moją opoką i twierdzą,   Boże mój, wyrwij mnie z rąk niegodziwca.Bo Ty, mój Boże, jesteś moją nadzieją,   Panie, Tobie ufam od lat młodości.  Ty byłeś moją podporą od dnia narodzin,   od łona matki moim opiekunem.Opowiem o potędze Pana,   będę przypominał tylko Twoją sprawiedliwość.  Boże, Ty mnie uczyłeś od mojej młodości   i do tej chwili głoszę Twoje cuda.",None,"Korzeniu Jessego, który stoisz jako sztandar narodów, przyjdź nas uwolnić, racz dłużej nie zwlekać.","Za czasów Heroda, króla Judei, żył pewien kapłan, imieniem Zachariasz, z oddziału Abiasza. Miał on żonę z rodu Aarona, a na imię było jej Elżbieta. Oboje byli sprawiedliwi wobec Boga i postępowali nienagannie według wszystkich przykazań i przepisów Pańskich. Nie mieli jednak dziecka, ponieważ Elżbieta była niepłodna; oboje zaś byli już posunięci w latach. Kiedy Zachariasz w wyznaczonej dla swego oddziału kolei pełnił służbę kapłańską przed Bogiem, jemu zgodnie ze zwyczajem kapłańskim przypadł los, żeby wejść do przybytku Pańskiego i złożyć ofiarę kadzenia. A cały lud modlił się na zewnątrz w czasie kadzenia. Naraz ukazał mu się anioł Pański, stojący po prawej stronie ołtarza kadzenia. Przeraził się na ten widok Zachariasz i strach padł na niego. Lecz anioł rzekł do niego: „Nie bój się, Zachariaszu; twoja prośba została wysłuchana: żona twoja Elżbieta urodzi ci syna, któremu nadasz imię Jan. Będzie to dla ciebie radość i wesele; i wielu z jego narodzenia cieszyć się będzie. Będzie bowiem wielki w oczach Pana; wina i sycery pić nie będzie i już w łonie matki napełniony będzie Duchem Świętym. Wielu spośród dzieci Izraela nawróci do Pana, Boga ich; on sam pójdzie przed Nim w duchu i mocy Eliasza, żeby serca ojców nakłonić ku dzieciom, a nieposłusznych do usposobienia sprawiedliwych, by przygotować Panu lud doskonały”. Na to rzekł Zachariasz do anioła: „Po czym to poznam? Bo ja jestem już stary i moja żona jest w podeszłym wieku”. Odpowiedział mu anioł: „Ja jestem Gabriel, który stoję przed Bogiem. A zostałem posłany, aby mówić z tobą i oznajmić ci tę wieść radosną. A oto będziesz niemy i nie będziesz mógł mówić aż do dnia, w którym się to stanie, bo nie uwierzyłeś moim słowom, które się spełnią w swoim czasie”. Lud tymczasem czekał na Zachariasza. I dziwił się, że tak długo zatrzymuje się w przybytku. Kiedy wyszedł, nie mógł do nich mówić i zrozumieli, że miał widzenie w przybytku. On zaś dawał im znaki i pozostał niemy. A gdy upłynęły dni jego posługi kapłańskiej, powrócił do swego domu. Potem żona jego, Elżbieta, poczęła i pozostawała w ukryciu przez pięć miesięcy i mówiła: „Tak uczynił mi Pan wówczas, kiedy wejrzał łaskawie i zdjął ze mnie hańbę w oczach ludzi”."
