,Dzień tygodnia,Pierwsze czytanie,Psalm,Werset przed Ewangelią,Ewangelia
2019-05-06,Monday,"Stephen, filled with grace and power,was working great wonders and signs among the people.Certain members of the so-called Synagogue of Freedmen,Cyreneans, and Alexandrians,and people from Cilicia and Asia,came forward and debated with Stephen,but they could not withstand the wisdom and the Spirit with which he spoke.Then they instigated some men to say,""We have heard him speaking blasphemous wordsagainst Moses and God.""They stirred up the people, the elders, and the scribes,accosted him, seized him,and brought him before the Sanhedrin.They presented false witnesses who testified,""This man never stops saying things against this holy place and the law.For we have heard him claimthat this Jesus the Nazorean will destroy this placeand change the customs that Moses handed down to us.""All those who sat in the Sanhedrin looked intently at himand saw that his face was like the face of an angel.","R. Blessed are they who follow the law of the Lord!or:R. Alleluia.Though princes meet and talk against me,your servant meditates on your statutes.Yes, your decrees are my delight;they are my counselors.R. Blessed are they who follow the law of the Lord!or:R. Alleluia.I declared my ways, and you answered me;teach me your statutes.Make me understand the way of your precepts,and I will meditate on your wondrous deeds.R. Blessed are they who follow the law of the Lord!or:R. Alleluia.Remove from me the way of falsehood,and favor me with your law.The way of truth I have chosen;I have set your ordinances before me.R. Blessed are they who follow the law of the Lord!or:R. Alleluia.","R. Alleluia, alleluia.One does not live on bread alonebut on every word that comes forth from the mouth of God.R. Alleluia, alleluia.","[After Jesus had fed the five thousand men, his disciples saw him walking on the sea.]The next day, the crowd that remained across the seasaw that there had been only one boat there,and that Jesus had not gone along with his disciples in the boat,but only his disciples had left.Other boats came from Tiberiasnear the place where they had eaten the breadwhen the Lord gave thanks.When the crowd saw that neither Jesus nor his disciples were there,they themselves got into boatsand came to Capernaum looking for Jesus.And when they found him across the sea they said to him,""Rabbi, when did you get here?""Jesus answered them and said,""Amen, amen, I say to you, you are looking for menot because you saw signsbut because you ate the loaves and were filled.Do not work for food that perishesbut for the food that endures for eternal life,which the Son of Man will give you. For on him the Father, God, has set his seal."" So they said to him,""What can we do to accomplish the works of God?""Jesus answered and said to them,""This is the work of God, that you believe in the one he sent."""
2019-05-05,Sunday,"When the captain and the court officers had brought the apostles inand made them stand before the Sanhedrin,the high priest questioned them,""We gave you strict orders, did we not,to stop teaching in that name?Yet you have filled Jerusalem with your teachingand want to bring this man's blood upon us.""But Peter and the apostles said in reply,""We must obey God rather than men.The God of our ancestors raised Jesus,though you had him killed by hanging him on a tree.God exalted him at his right hand as leader and saviorto grant Israel repentance and forgiveness of sins.We are witnesses of these things,as is the Holy Spirit whom God has given to those who obey him.""The Sanhedrin ordered the apostlesto stop speaking in the name of Jesus, and dismissed them.So they left the presence of the Sanhedrin,rejoicing that they had been found worthyto suffer dishonor for the sake of the name.","R.  I will praise you, Lord, for you have rescued me.or:R. Alleluia.I will extol you, O LORD, for you drew me clearand did not let my enemies rejoice over me.O LORD, you brought me up from the netherworld;you preserved me from among those going down into the pit.R. I will praise you, Lord, for you have rescued me.or:R. Alleluia.Sing praise to the LORD, you his faithful ones,and give thanks to his holy name.For his anger lasts but a moment;a lifetime, his good will.At nightfall, weeping enters in, but with the dawn, rejoicing.R. I will praise you, Lord, for you have rescued me.or:R. Alleluia.Hear, O LORD, and have pity on me;O LORD, be my helper.You changed my mourning into dancing;O LORD, my God, forever will I give you thanks.R. I will praise you, Lord, for you have rescued me.or:R. Alleluia.","I, John, looked and heard the voices of many angelswho surrounded the throneand the living creatures and the elders.They were countless in number, and they cried out in a loud voice:""Worthy is the Lamb that was slain to receive power and riches, wisdom and strength,honor and glory and blessing.""Then I heard every creature in heaven and on earthand under the earth and in the sea,everything in the universe, cry out:""To the one who sits on the throne and to the Lambbe blessing and honor, glory and might,forever and ever.""The four living creatures answered, ""Amen, ""and the elders fell down and worshiped.","Gospel Jn 21:1-19 At that time, Jesus revealed himself again to his disciples at the Sea of Tiberias.He revealed himself in this way.Together were Simon Peter, Thomas called Didymus,Nathanael from Cana in Galilee,Zebedee's sons, and two others of his disciples.Simon Peter said to them, ""I am going fishing.""They said to him, ""We also will come with you.""So they went out and got into the boat,but that night they caught nothing.When it was already dawn, Jesus was standing on the shore;but the disciples did not realize that it was Jesus.Jesus said to them, ""Children, have you caught anything to eat?""They answered him, ""No.""So he said to them, ""Cast the net over the right side of the boatand you will find something.""So they cast it, and were not able to pull it inbecause of the number of fish.So the disciple whom Jesus loved said to Peter, ""It is the Lord.""When Simon Peter heard that it was the Lord,he tucked in his garment, for he was lightly clad,and jumped into the sea.The other disciples came in the boat,for they were not far from shore, only about a hundred yards,dragging the net with the fish.When they climbed out on shore,they saw a charcoal fire with fish on it and bread.Jesus said to them, ""Bring some of the fish you just caught.""So Simon Peter went over and dragged the net ashorefull of one hundred fifty-three large fish.Even though there were so many, the net was not torn.Jesus said to them, ""Come, have breakfast.""And none of the disciples dared to ask him, ""Who are you?""because they realized it was the Lord.Jesus came over and took the bread and gave it to them,and in like manner the fish.This was now the third time Jesus was revealed to his disciplesafter being raised from the dead.When they had finished breakfast, Jesus said to Simon Peter,""Simon, son of John, do you love me more than these?""Simon Peter answered him, ""Yes, Lord, you know that I love you.""Jesus said to him, ""Feed my lambs.""He then said to Simon Peter a second time,""Simon, son of John, do you love me?""Simon Peter answered him, ""Yes, Lord, you know that I love you.""Jesus said to him, ""Tend my sheep.""Jesus said to him the third time,""Simon, son of John, do you love me?""Peter was distressed that Jesus had said to him a third time,""Do you love me?"" and he said to him,""Lord, you know everything; you know that I love you.""Jesus said to him, ""Feed my sheep.Amen, amen, I say to you, when you were younger,you used to dress yourself and go where you wanted;but when you grow old, you will stretch out your hands,and someone else will dress youand lead you where you do not want to go.""He said this signifying by what kind of death he would glorify God.And when he had said this, he said to him, ""Follow me.""or Jn 21:1-14At that time, Jesus revealed himself to his disciples at the Sea of Tiberias.He revealed himself in this way.Together were Simon Peter, Thomas called Didymus,Nathanael from Cana in Galilee,Zebedee's sons, and two others of his disciples.Simon Peter said to them, ""I am going fishing.""They said to him, ""We also will come with you.""So they went out and got into the boat,but that night they caught nothing.When it was already dawn, Jesus was standing on the shore;but the disciples did not realize that it was Jesus.Jesus said to them, ""Children, have you caught anything to eat?""They answered him, ""No.""So he said to them, ""Cast the net over the right side of the boatand you will find something.""So they cast it, and were not able to pull it inbecause of the number of fish.So the disciple whom Jesus loved said to Peter, ""It is the Lord.""When Simon Peter heard that it was the Lord,he tucked in his garment, for he was lightly clad,and jumped into the sea.The other disciples came in the boat,for they were not far from shore, only about a hundred yards,dragging the net with the fish.When they climbed out on shore,they saw a charcoal fire with fish on it and bread.Jesus said to them, ""Bring some of the fish you just caught.""So Simon Peter went over and dragged the net ashorefull of one hundred fifty-three large fish.Even though there were so many, the net was not torn.Jesus said to them, ""Come, have breakfast.""And none of the disciples dared to ask him, ""Who are you?""because they realized it was the Lord.Jesus came over and took the bread and gave it to them,and in like manner the fish.This was now the third time Jesus was revealed to his disciplesafter being raised from the dead. "
2019-05-04,Saturday,"As the number of disciples continued to grow,the Hellenists complained against the Hebrewsbecause their widows were being neglected in the daily distribution.So the Twelve called together the community of the disciples and said,""It is not right for us to neglect the word of God to serve at table.Brothers, select from among you seven reputable men,filled with the Spirit and wisdom,whom we shall appoint to this task,whereas we shall devote ourselves to prayerand to the ministry of the word.""The proposal was acceptable to the whole community,so they chose Stephen, a man filled with faith and the Holy Spirit,also Philip, Prochorus, Nicanor, Timon, Parmenas,and Nicholas of Antioch, a convert to Judaism.They presented these men to the Apostleswho prayed and laid hands on them.The word of God continued to spread,and the number of the disciples in Jerusalem increased greatly;even a large group of priests were becoming obedient to the faith.","R. Lord, let your mercy be on us, as we place our trust in you.or:R. Alleluia.Exult, you just, in the LORD;praise from the upright is fitting.Give thanks to the LORD on the harp;with the ten-stringed lyre chant his praises.R. Lord, let your mercy be on us, as we place our trust in you.or:R. Alleluia.Upright is the word of the LORD,and all his works are trustworthy.He loves justice and right;of the kindness of the LORD the earth is full.R. Lord, let your mercy be on us, as we place our trust in you.or:R. Alleluia.See, the eyes of the LORD are upon those who fear him,upon those who hope for his kindness,To deliver them from deathand preserve them in spite of famine.R. Lord, let your mercy be on us, as we place our trust in you.or:R. Alleluia.","R. Alleluia, alleluia.Christ is risen, who made all things;he has shown mercy on all people.R. Alleluia, alleluia.","When it was evening, the disciples of Jesus went down to the sea,embarked in a boat, and went across the sea to Capernaum.It had already grown dark, and Jesus had not yet come to them.The sea was stirred up because a strong wind was blowing.When they had rowed about three or four miles,they saw Jesus walking on the sea and coming near the boat,and they began to be afraid.But he said to them, ""It is I. Do not be afraid.""They wanted to take him into the boat,but the boat immediately arrived at the shoreto which they were heading."
2019-05-03,Friday,"I am reminding you, brothers and sisters,of the Gospel I preached to you,which you indeed received and in which you also stand.Through it you are also being saved,if you hold fast to the word I preached to you,unless you believed in vain.For I handed on to you as of first importance what I also received:that Christ died for our sinsin accordance with the Scriptures;that he was buried;that he was raised on the third dayin accordance with the Scriptures;that he appeared to Cephas, then to the Twelve.After that, he appeared to morethan five hundred brothers and sisters at once,most of whom are still living,though some have fallen asleep.After that he appeared to James,then to all the Apostles.Last of all, as to one born abnormally,he appeared to me.","R.   Their message goes out through all the earth.or:R. Alleluia.The heavens declare the glory of God;and the firmament proclaims his handiwork.Day pours out the word to day;and night to night imparts knowledge.R. Their message goes out through all the earth.or:R. Alleluia.Not a word nor a discoursewhose voice is not heard;Through all the earth their voice resounds,and to the ends of the world, their message.R. Their message goes out through all the earth.or:R. Alleluia.","R. Alleluia, alleluia.I am the way, the truth, and the life, says the Lord;Philip, whoever has seen me has seen the Father.R. Alleluia, alleluia.","Jesus said to Thomas, ""I am the way and the truth and the life.No one comes to the Father except through me.If you know me, then you will also know my Father.From now on you do know him and have seen him.""Philip said to him, ""Master, show us the Father, and that will be enough for us.""Jesus said to him, ""Have I been with you for so long a timeand you still do not know me, Philip?Whoever has seen me has seen the Father.How can you say, 'Show us the Father'?Do you not believe that I am in the Father and the Father is in me?The words that I speak to you I do not speak on my own.The Father who dwells in me is doing his works. Believe me that I am in the Father and the Father is in me,or else, believe because of the works themselves.Amen, amen, I say to you,whoever believes in me will do the works that I do,and will do greater ones than these,because I am going to the Father.And whatever you ask in my name, I will do,so that the Father may be glorified in the Son.If you ask anything of me in my name, I will do it."""
2019-05-02,Thursday,"When the court officers had brought the Apostles inand made them stand before the Sanhedrin,the high priest questioned them,""We gave you strict orders did we not,to stop teaching in that name.Yet you have filled Jerusalem with your teachingand want to bring this man's blood upon us.""But Peter and the Apostles said in reply,""We must obey God rather than men. The God of our ancestors raised Jesus,though you had him killed by hanging him on a tree.God exalted him at his right hand as leader and saviorto grant Israel repentance and forgiveness of sins.We are witnesses of these things,as is the Holy Spirit whom God has given to those who obey him.""When they heard this,they became infuriated and wanted to put them to death.","R. The Lord hears the cry of the poor.or:R. Alleluia.I will bless the LORD at all times;his praise shall be ever in my mouth.Taste and see how good the LORD is;blessed the man who takes refuge in him.R. The Lord hears the cry of the poor.or:R. Alleluia.The LORD confronts the evildoers,to destroy remembrance of them from the earth.When the just cry out, the LORD hears them,and from all their distress he rescues them.R. The Lord hears the cry of the poor.or:R. Alleluia.The LORD is close to the brokenhearted;and those who are crushed in spirit he saves.Many are the troubles of the just man,but out of them all the LORD delivers him.R. The Lord hears the cry of the poor.or:R. Alleluia.","R. Alleluia, alleluia.You believe in me, Thomas, because you have seen me, says the Lord;blessed are those who have not seen, but still believe!R. Alleluia, alleluia.","The one who comes from above is above all.The one who is of the earth is earthly and speaks of earthly things.But the one who comes from heaven is above all.He testifies to what he has seen and heard,but no one accepts his testimony.Whoever does accept his testimony certifies that God is trustworthy.For the one whom God sent speaks the words of God.He does not ration his gift of the Spirit.The Father loves the Son and has given everything over to him.Whoever believes in the Son has eternal life,but whoever disobeys the Son will not see life,but the wrath of God remains upon him."
2019-05-01,Wednesday,"The high priest rose up and all his companions,that is, the party of the Sadducees,and, filled with jealousy,laid hands upon the Apostles and put them in the public jail.But during the night, the angel of the Lord opened the doors of the prison,led them out, and said,""Go and take your place in the temple area,and tell the people everything about this life.""When they heard this,they went to the temple early in the morning and taught.When the high priest and his companions arrived,they convened the Sanhedrin,the full senate of the children of Israel,and sent to the jail to have them brought in.But the court officers who went did not find them in the prison,so they came back and reported,""We found the jail securely lockedand the guards stationed outside the doors,but when we opened them, we found no one inside.""When the captain of the temple guard and the chief priests heard this report, they were at a loss about them,as to what this would come to.Then someone came in and reported to them,""The men whom you put in prison are in the temple areaand are teaching the people."" Then the captain and the court officers went and brought them,but without force,because they were afraid of being stoned by the people.","R. The Lord hears the cry of the poor.or:R. Alleluia.I will bless the LORD at all times;his praise shall be ever in my mouth.Let my soul glory in the LORD;the lowly will hear me and be glad.R.The Lord hears the cry of the poor.or:R. Alleluia.Glorify the LORD with me,let us together extol his name.I sought the LORD, and he answered meand delivered me from all my fears.R. The Lord hears the cry of the poor.or:R. Alleluia.Look to him that you may be radiant with joy,and your faces may not blush with shame.When the poor one called out, the LORD heard,and from all his distress he saved him.R. The Lord hears the cry of the poor.or:R. Alleluia.The angel of the LORD encampsaround those who fear him, and delivers them.Taste and see how good the LORD is;blessed the man who takes refuge in him.R. The Lord hears the cry of the poor.or:R. Alleluia.","R. Alleluia, alleluia.God so loved the world that he gave his only-begotten Son,so that everyone who believes in him might have eternal life.R. Alleluia, alleluia.","God so loved the world that he gave his only-begotten Son,so that everyone who believes in him might not perishbut might have eternal life.For God did not send his Son into the world to condemn the world,but that the world might be saved through him.Whoever believes in him will not be condemned,but whoever does not believe has already been condemned,because he has not believed in the name of the only-begotten Son of God.And this is the verdict,that the light came into the world,but people preferred darkness to light,because their works were evil.For everyone who does wicked things hates the lightand does not come toward the light,so that his works might not be exposed.But whoever lives the truth comes to the light,so that his works may be clearly seen as done in God."
2019-04-30,Tuesday,"The community of believers was of one heart and mind,and no one claimed that any of his possessions was his own,but they had everything in common.With great power the Apostles bore witnessto the resurrection of the Lord Jesus,and great favor was accorded them all.There was no needy person among them,for those who owned property or houses would sell them,bring the proceeds of the sale,and put them at the feet of the Apostles,and they were distributed to each according to need.Thus Joseph, also named by the Apostles Barnabas,a Levite, a Cypriot by birth,sold a piece of property that he owned,then brought the money and put it at the feet of the Apostles.","R. The Lord is king; he is robed in majesty.or:R. Alleluia.The LORD is king, in splendor robed;robed is the LORD and girt about with strength.R. The Lord is king; he is robed in majesty.or:R. Alleluia.And he has made the world firm,not to be moved.Your throne stands firm from of old;from everlasting you are, O LORD.R. The Lord is king; he is robed in majesty.or:R. Alleluia.Your decrees are worthy of trust indeed:holiness befits your house,O LORD, for length of days.R. The Lord is king; he is robed in majesty.or:R. Alleluia.","R. Alleluia, alleluia.The Son of Man must be lifted up,so that everyone who believes in himmay have eternal life.R. Alleluia, alleluia.","Jesus said to Nicodemus:""'You must be born from above.'The wind blows where it wills, and you can hear the sound it makes,but you do not know where it comes from or where it goes;so it is with everyone who is born of the Spirit.""Nicodemus answered and said to him,'How can this happen?""Jesus answered and said to him,""You are the teacher of Israel and you do not understand this?Amen, amen, I say to you,we speak of what we know and we testify to what we have seen,but you people do not accept our testimony.If I tell you about earthly things and you do not believe,how will you believe if I tell you about heavenly things?No one has gone up to heavenexcept the one who has come down from heaven, the Son of Man.And just as Moses lifted up the serpent in the desert,so must the Son of Man be lifted up,so that everyone who believes in him may have eternal life.""For the readings of the Optional Memorial of Saint Pius V, please go here."
2019-04-29,Monday,"After their release Peter and John went back to their own peopleand reported what the chief priests and elders had told them.And when they heard it,they raised their voices to God with one accordand said, ""Sovereign Lord, maker of heaven and earthand the sea and all that is in them,you said by the Holy Spiritthrough the mouth of our father David, your servant:Why did the Gentiles rageand the peoples entertain folly?The kings of the earth took their standand the princes gathered togetheragainst the Lord and against his anointed.Indeed they gathered in this cityagainst your holy servant Jesus whom you anointed,Herod and Pontius Pilate,together with the Gentiles and the peoples of Israel,to do what your hand and your willhad long ago planned to take place.And now, Lord, take note of their threats,and enable your servants to speak your wordwith all boldness, as you stretch forth your hand to heal,and signs and wonders are donethrough the name of your holy servant Jesus.""As they prayed, the place where they were gathered shook,and they were all filled with the Holy Spiritand continued to speak the word of God with boldness.","R.  Blessed are all who take refuge in the Lord.or:R. Alleluia.Why do the nations rageand the peoples utter folly?The kings of the earth rise up,and the princes conspire togetheragainst the LORD and against his anointed:""Let us break their fettersand cast their bonds from us!""R. Blessed are all who take refuge in the Lord.or:R. Alleluia.He who is throned in heaven laughs;the LORD derides them.Then in anger he speaks to them;he terrifies them in his wrath:""I myself have set up my kingon Zion, my holy mountain.""I will proclaim the decree of the LORD.R. Blessed are all who take refuge in the Lord.or:R. Alleluia.The LORD said to me, ""You are my Son;this day I have begotten you.Ask of me and I will give youthe nations for an inheritanceand the ends of the earth for your possession.You shall rule them with an iron rod;you shall shatter them like an earthen dish.""R. Blessed are all who take refuge in the Lord.or:R. Alleluia.","R. Alleluia, alleluia.If then you were raised with Christ,seek what is above,where Christ is seated at the right hand of God.R. Alleluia, alleluia.","There was a Pharisee named Nicodemus, a ruler of the Jews.He came to Jesus at night and said to him,""Rabbi, we know that you are a teacher who has come from God,for no one can do these signs that you are doingunless God is with him.""Jesus answered and said to him,""Amen, amen, I say to you,unless one is born from above, he cannot see the Kingdom of God."" Nicodemus said to him,""How can a man once grown old be born again?Surely he cannot reenter his mother's womb and be born again, can he?""Jesus answered,""Amen, amen, I say to you,unless one is born of water and Spirithe cannot enter the Kingdom of God.What is born of flesh is fleshand what is born of spirit is spirit.Do not be amazed that I told you,'You must be born from above.'The wind blows where it wills,and you can hear the sound it makes,but you do not know where it comes from or where it goes;so it is with everyone who is born of the Spirit."""
2019-04-28,Sunday,"Many signs and wonders were done among the peopleat the hands of the apostles.They were all together in Solomon's portico.None of the others dared to join them, but the people esteemed them.Yet more than ever, believers in the Lord,great numbers of men and women, were added to them.Thus they even carried the sick out into the streetsand laid them on cots and matsso that when Peter came by,at least his shadow might fall on one or another of them.A large number of people from the townsin the vicinity of Jerusalem also gathered,bringing the sick and those disturbed by unclean spirits,and they were all cured.","R.  Give thanks to the Lord for he is good, his love is everlasting.or:R. Alleluia.Let the house of Israel say,""His mercy endures forever.""Let the house of Aaron say,""His mercy endures forever.""Let those who fear the LORD say,""His mercy endures forever.""R. Give thanks to the Lord for he is good, his love is everlasting.or:R. Alleluia.I was hard pressed and was falling,but the LORD helped me.My strength and my courage is the LORD,and he has been my savior.The joyful shout of victoryin the tents of the just:R. Give thanks to the Lord for he is good, his love is everlasting.or:R. Alleluia.The stone which the builders rejectedhas become the cornerstone.By the LORD has this been done;it is wonderful in our eyes.This is the day the LORD has made;let us be glad and rejoice in it.R. Give thanks to the Lord for he is good, his love is everlasting.or:R. Alleluia.","I, John, your brother, who share with you the distress, the kingdom, and the endurance we have in Jesus,found myself on the island called Patmosbecause I proclaimed God's word and gave testimony to Jesus.I was caught up in spirit on the Lord's dayand heard behind me a voice as loud as a trumpet, which said,""Write on a scroll what you see.""Then I turned to see whose voice it was that spoke to me,and when I turned, I saw seven gold lampstandsand in the midst of the lampstands one like a son of man,wearing an ankle-length robe, with a gold sash around his chest.When I caught sight of him, I fell down at his feet as though dead.He touched me with his right hand and said, ""Do not be afraid.I am the first and the last, the one who lives.Once I was dead, but now I am alive forever and ever.I hold the keys to death and the netherworld.Write down, therefore, what you have seen,and what is happening, and what will happen afterwards.""Alleluia Jn 20:29R. Alleluia, alleluia.You believe in me, Thomas, because you have seen me, says the Lord;blessed are those who have not seen me, but still believe!R. Alleluia, alleluia.","On the evening of that first day of the week,when the doors were locked, where the disciples were,for fear of the Jews,Jesus came and stood in their midstand said to them, ""Peace be with you.""When he had said this, he showed them his hands and his side.The disciples rejoiced when they saw the Lord.Jesus said to them again, ""Peace be with you.As the Father has sent me, so I send you.""And when he had said this, he breathed on them and said to them,""Receive the Holy Spirit.Whose sins you forgive are forgiven them,and whose sins you retain are retained.""Thomas, called Didymus, one of the Twelve,was not with them when Jesus came.So the other disciples said to him, ""We have seen the Lord.""But he said to them,""Unless I see the mark of the nails in his handsand put my finger into the nailmarksand put my hand into his side, I will not believe.""Now a week later his disciples were again insideand Thomas was with them.Jesus came, although the doors were locked,and stood in their midst and said, ""Peace be with you.""Then he said to Thomas, ""Put your finger here and see my hands,and bring your hand and put it into my side,and do not be unbelieving, but believe.""Thomas answered and said to him, ""My Lord and my God!""Jesus said to him, ""Have you come to believe because you have seen me?Blessed are those who have not seen and have believed.""Now Jesus did many other signs in the presence of his disciplesthat are not written in this book.But these are written that you may come to believethat Jesus is the Christ, the Son of God,and that through this belief you may have life in his name."
2019-04-27,Saturday,"Observing the boldness of Peter and Johnand perceiving them to be uneducated, ordinary men,the leaders, elders, and scribes were amazed,and they recognized them as the companions of Jesus.Then when they saw the man who had been cured standing there with them,they could say nothing in reply.So they ordered them to leave the Sanhedrin,and conferred with one another, saying,""What are we to do with these men?Everyone living in Jerusalem knows that a remarkable signwas done through them, and we cannot deny it.But so that it may not be spread any further among the people,let us give them a stern warningnever again to speak to anyone in this name.""So they called them backand ordered them not to speak or teach at all in the name of Jesus.Peter and John, however, said to them in reply,""Whether it is right in the sight of Godfor us to obey you rather than God, you be the judges.It is impossible for us not to speak about what we have seen and heard.""After threatening them further,they released them,finding no way to punish them,on account of the people who were all praising Godfor what had happened.","R. I will give thanks to you, for you have answered me.or:R. Alleluia.Give thanks to the LORD, for he is good,for his mercy endures forever.My strength and my courage is the LORD,and he has been my savior.The joyful shout of victoryin the tents of the just.R. I will give thanks to you, for you have answered me.or:R. Alleluia.""The right hand of the LORD is exalted;the right hand of the LORD has struck with power.""I shall not die, but live,and declare the works of the LORD.Though the LORD has indeed chastised me,yet he has not delivered me to death.R. I will give thanks to you, for you have answered me.or:R. Alleluia.Open to me the gates of justice;I will enter them and give thanks to the LORD.This is the gate of the LORD;the just shall enter it.I will give thanks to you, for you have answered meand have been my savior.R. I will give thanks to you, for you have answered me.or:R. Alleluia.","R. Alleluia, alleluia.This is the day the LORD has made;let us be glad and rejoice in it.R. Alleluia, alleluia.","When Jesus had risen, early on the first day of the week,he appeared first to Mary Magdalene,out of whom he had driven seven demons.She went and told his companions who were mourning and weeping.When they heard that he was aliveand had been seen by her, they did not believe.After this he appeared in another formto two of them walking along on their way to the country.They returned and told the others;but they did not believe them either.But later, as the Eleven were at table, he appeared to themand rebuked them for their unbelief and hardness of heartbecause they had not believed thosewho saw him after he had been raised.He said to them, ""Go into the whole worldand proclaim the Gospel to every creature."""
2019-04-26,Friday,"After the crippled man had been cured,while Peter and John were still speaking to the people,the priests, the captain of the temple guard,and the Sadducees confronted them,disturbed that they were teaching the peopleand proclaiming in Jesus the resurrection of the dead.They laid hands on Peter and Johnand put them in custody until the next day,since it was already evening.But many of those who heard the word came to believeand the number of men grew to about five thousand.On the next day, their leaders, elders, and scribeswere assembled in Jerusalem, with Annas the high priest,Caiaphas, John, Alexander,and all who were of the high-priestly class.They brought them into their presence and questioned them,""By what power or by what name have you done this?""Then Peter, filled with the Holy Spirit, answered them,""Leaders of the people and elders:If we are being examined todayabout a good deed done to a cripple,namely, by what means he was saved,then all of you and all the people of Israel should knowthat it was in the name of Jesus Christ the Nazoreanwhom you crucified, whom God raised from the dead;in his name this man stands before you healed.He is the stone rejected by you, the builders,which has become the cornerstone.There is no salvation through anyone else,nor is there any other name under heavengiven to the human race by which we are to be saved.""","R.  The stone rejected by the builders has become the cornerstone.or:R. Alleluia.Give thanks to the LORD, for he is good,for his mercy endures forever.Let the house of Israel say,""His mercy endures forever.""Let those who fear the LORD say,""His mercy endures forever.""R. The stone rejected by the builders has become the cornerstone.or:R. Alleluia.The stone which the builders rejectedhas become the cornerstone.By the LORD has this been done;it is wonderful in our eyes.This is the day the LORD has made;let us be glad and rejoice in it.R. The stone rejected by the builders has become the cornerstone.or:R. Alleluia.O LORD, grant salvation!O LORD, grant prosperity!Blessed is he who comes in the name of the LORD;we bless you from the house of the LORD.The LORD is God, and he has given us light.R. The stone rejected by the builders has become the cornerstone.or:R. Alleluia.","R. Alleluia, alleluia.This is the day the LORD has made;let us be glad and rejoice in it.R. Alleluia, alleluia.","Jesus revealed himself again to his disciples at the Sea of Tiberias.He revealed himself in this way.Together were Simon Peter, Thomas called Didymus,Nathanael from Cana in Galilee,Zebedee's sons, and two others of his disciples.Simon Peter said to them, ""I am going fishing.""They said to him, ""We also will come with you.""So they went out and got into the boat,but that night they caught nothing.When it was already dawn, Jesus was standing on the shore;but the disciples did not realize that it was Jesus.Jesus said to them, ""Children, have you caught anything to eat?""They answered him, ""No.""So he said to them, ""Cast the net over the right side of the boatand you will find something.""So they cast it, and were not able to pull it inbecause of the number of fish.So the disciple whom Jesus loved said to Peter, ""It is the Lord.""When Simon Peter heard that it was the Lord,he tucked in his garment, for he was lightly clad,and jumped into the sea.The other disciples came in the boat,for they were not far from shore, only about a hundred yards,dragging the net with the fish.When they climbed out on shore,they saw a charcoal fire with fish on it and bread.Jesus said to them, ""Bring some of the fish you just caught.""So Simon Peter went over and dragged the net ashorefull of one hundred fifty-three large fish.Even though there were so many, the net was not torn.Jesus said to them, ""Come, have breakfast.""And none of the disciples dared to ask him, ""Who are you?""because they realized it was the Lord.Jesus came over and took the bread and gave it to them,and in like manner the fish.This was now the third time Jesus was revealed to his disciplesafter being raised from the dead."
