,Ewangelia
2018-12-23,"At that time, Mary went away and went in haste to the mountains to a certain city in the tribe of Judah. She came to Zachariasz's house and greeted Elżbieta. When Elizabeth heard the greeting of Mary, the baby moved in her womb, and the Holy Spirit filled Elizabeth. She gave a shout and said: ""Blessed are you among women and blessed is the fruit of your womb. And how is it that the Mother of my Lord comes to me? Behold, since the voice of Your greeting sounded in my ears, the baby in my womb moved with joy. Blessed is she who believed that the words spoken to you by the Lord will be fulfilled. """
2018-12-22,"At that time, Mary said, ""My soul magnifates the Lord, and my spirit rejoices in God, my Savior. For he looked on the humiliation of his handmaid, for from now on all generations will bless me. For the Almighty has done great things for me, His name is holy. And His mercy from generation to generation over those who fear Him. He showed the power of his arm, dispersed his heart-boiling thoughts. He put down the rulers from the throne and exalted the humble. He filled the hungry with good things, and sent the rich away with nothing. He took charge of his servant, Israel, mindful of his mercy. As he promised our fathers, Abraham and his offspring forever. "" Mary stayed with Elżbieta for about three months; then she came back home."
2018-12-21,"At that time, Mary went away and went in haste to the mountains to a certain city in the tribe of Judah. She came to Zachariasz's house and greeted Elżbieta. When Elizabeth heard the greeting of Mary, the baby moved in her womb, and the Holy Spirit filled Elizabeth. She gave a shout and said: ""Blessed are you among women and blessed is the fruit of your womb. And how is it that the Mother of my Lord comes to me? Behold, since the voice of Your greeting sounded in my ears, the baby in my womb moved with joy. Blessed is she who believed that the words spoken to you by the Lord will be fulfilled. """
2018-12-20,"God sent the angel Gabriel to the city of Galilee, called Nazareth, to the Virgin married to her husband, named Joseph, of the family of David; and the Virgin's name was Mary. The angel came to her and said, ""Greetings, full of grace, the Lord is with you."" She mingled at these words and pondered what this greeting would mean. The angel said to her, ""Do not be afraid, Mary, you have found grace with God. Behold, you are going to conceive and give birth to a son, to whom you will name Jesus. He will be great and will be called the Son of the Most High, and God will give him the throne of His father, David. He will reign over the house of Jacob forever, and his reign will not end. "" Mary said to the angel, ""How will this happen if I do not know my husband?"" Her angel replied, ""The Holy Spirit will descend upon You and the power of the Supreme will shield You. Therefore, the Holy One who is born will be called the Son of God. And, behold, your relative, Elisabeth, conceived a son in her old age, and she is in the sixth month that she is considered barren. There is nothing impossible for God. "" Mary said, ""Behold, I am the handmaid of the Lord, let it be to me according to your word."" Then the angel departed from her."
2018-12-19,"During the time of Herod, King of Judea, a certain priest lived, named Zachariah, of the branch of Abijah. He had a wife from Aaron's family, her name was Elżbieta. Both were righteous to God and acted blamelessly according to all the commandments and regulations of the Lord. However, they did not have a child because Elizabeth was barren; both of them were already in years. When Zechariah, in his designated branch of the railway, performed priestly service before God, according to priesthood ordinances, he had a fortune to enter the tabernacle of the Lord and make a sacrifice of incense. And all the people prayed outside during incense. At once an angel of the Lord appeared to him, standing on the right side of the altar of incense. Zacharias was horrified at this sight, and fear fell on him. But the angel said to him, ""Do not be afraid, Zechariah; your plea has been heard: your wife, Elizabeth, will give you a son who you will call John. It will be joy and a joy for you; and many of his birth will enjoy. For he will be great in the eyes of the Lord; there will be no wine or drink and will be filled with the Holy Spirit in the womb of the mother. Many of the children of Israel will return to the Lord their God; he will go before him in the spirit and power of Elijah, make the hearts of the fathers incline to the children, and disobedient to the righteous, to prepare the perfect people for the Lord. "" And Zachariah said to the angel, ""Why do I know this? Because I'm old and my wife is old. "" The angel replied, ""I am Gabriel, who stand before God. And I was sent to speak with you and tell you this joyful news. And behold, you will be speechless and will not be able to speak until the day that it happens, because you have not believed my words that will come true in their time. "" Meanwhile, the people were waiting for Zechariah. And he was surprised that he was staying in the sanctuary for so long. When he left, he could not speak to them and understood that he had a vision in the tabernacle. He gave them signs and remained silent. And when the days of his priestly ministry had passed, he returned to his home. Then his wife, Elizabeth, conceived and remained hidden for five months and said: ""The Lord did so to me when he looked kindly and took away my shame in the eyes of men."""
2018-12-18,"With the birth of Jesus Christ it was like this. After the marriage of his mother, Mary, to Joseph, first they lived together, she found herself pregnant by the Holy Spirit. Her husband, Joseph, who was a righteous man and did not want to expose her to defamation, intended to dismiss her secretly. When he thought of this, behold, the angel of the Lord appeared to him in a dream, and said: ""Joseph, son of David, do not be afraid to take Mary, your wife, into you; For from the Holy Spirit is what is conceived in her. He will give birth to a son, to whom you will name Jesus, for he will save his people from his sins. "" And all this happened, that the word of the Lord would be fulfilled, spoken by the prophet, ""Behold, the Virgin will conceive and give birth to the Son, who will give the name Emmanuel, that is,"" God with us. "" Waking up from sleep, Joseph did as the angel of the Lord told him: he took his wife to himself."
2018-12-17,"Pedigree of Jesus Christ, son of David, son of Abraham. Abraham was the father of Isaac; Isaac father Jacob; Jacob the father of Judah and his brothers; And Judah was the father of Fares and Zara, whose mother was Tamar. Fares was the father of Ezron; Ezron the father of Aram; Aram father of Aminadaba; Aminadab the father of Naasson; Naasson the father of Solomon; Solomon, father of Boaz, and mother was Rahab. Boaz was the father of Obed, and Rut was her mother. Obed was the father of Jesse, and Jesse was the father of King David. David was the father of Solomon, and his mother was the former wife of Uriah. Solomon was the father of Rehoboam; I was the father of Abijah; Abijasz the father of Asa; Asa the father of Jehoshaphat; Jehoshaphat, the father of Joram; Joram the father of Uzziah; Uzziah the father of Joatam; Joatam the father of Ahaz; Ahaz, the father of Hezekiah; Hezekiah the father of Manasseh; Manasses father of Amos; Amos the father of Josiah; Josiah the father of Yechonus and his brothers during the Babylonian resettlement. After the Babylonian resettlement, Jechoniasz was the father of Salatiel; Salatiel the father of Zorobabel; Zorobabel, Abiud's father; Abiud, father of Eliakim; Eliakim father of Azor; Azor father of Zadok; Sadok father Achim; Achim is the father of Eliud; Eliud father Eleazar; Eleazar father of Mattana; Mattan is the father of Jakub; Jakub, the father of Joseph, the husband of Mary, from whom Jesus was born, called Christ. Thus, from Abraham to David, there are fourteen generations; from David to the resettlement of Babylon, fourteen generations; from the resettlement of Babylon to Christ fourteen generations."
2018-12-16,"When John preached to the Jordan, crowds asked him, ""What shall we do?"" He answered them: ""Who has two dresses, let him give one who has not; and whoever has food, let it do the same. "" The tax collectors also came to receive baptism, and they asked Him, ""Teacher, what are we to do?"" He replied to them: ""Do not collect anything more than you have been appointed."" The soldiers also asked him: ""And what are we to do?"" He replied to them: ""Do not abuse anyone and squeeze nobody, but settle for your pay."" So when the people were waiting with suspense and everyone was speculating in their hearts about John, whether he was the Messiah, he said to everyone: ""I baptize you with water; but he is stronger than me, and I am not worthy to unravel the thong of sandals. He will baptize you with the Holy Spirit and fire. He has a clutch in his hand for the purification of his threshing: the wheat will gather to the granary, and the chaff will burn in the unquenchable fire. "" He also gave many other admonitions to the people and preached the good news."
2018-12-15,"When they came down from the mountain, the disciples asked Jesus, ""Why do the scribes say that Elijah must first come?"" He replied, ""Elijah will come and fix everything. But I say to you: Elijah has already come, and they did not recognize him and acted with him as they wished. So will the Son of Man suffer from them. "" Then the disciples understood that he was telling them about John the Baptist"
2018-12-14,"Jesus said to the crowds, ""Who should I compare this generation with? It is similar to the children who are on the market, who say to their peers: ""We played for you, and you did not dance, we wailed, and you did not disappoint."" For John came, he neither ate nor drank, and they say, ""The evil spirit possessed him."" The Son of Man has come eating and drinking, and they say, ""Behold a glutton and a drunkard, a friend of publicans and sinners."" Yet wisdom is justified by its deeds. """
2018-12-13,"Jesus said to the multitudes, ""Verily I say unto you, Among those born of women there was not a greater one than John the Baptist. But the smallest in the kingdom of heaven is greater than he. And since the time of John the Baptist up until now, the kingdom of heaven has been raped and people of violence have gained it. For all the Prophets and the Law prophesied until John. And if you want to receive, he is Elijah who is to come. He who has ears, let him hear. """
2018-12-12,"Jesus spoke with these words: ""Come to me, all you who are weary and heavy laden, and I will give you rest. Take my yoke upon me and learn from me, for I am gentle and humble in heart, and you will find rest for your souls. For my yoke is sweet, and my burden is light. """
2018-12-11,"Jesus said to his disciples: ""As it seems to you? If a man has one hundred sheep, and one of them is gone, will he not leave ninety-nine in the mountains, and go not to find the one that has gone astray? And if he manages to find her, I truly tell you: he enjoys her more than the ninety-nine of those who have not gone astray. So it is not the will of your Father who is in heaven that one of these little ones should die. """
2018-12-10,"One day, when Jesus taught, the Pharisees and the scribes who came from all the villages of Galilee, Judea and Jerusalem sat at the same time. And the Lord's power was in him that he could heal. Some people, carrying a man who was paralyzed on his bed, tried to bring him and put him before him. Not being able to bring him in any way because of the crowd, they went out onto the flat roof and dropped him along with the bed in the middle of Jesus in front of him. He, seeing their faith, said, ""Man, your sins are forgiven."" Then the scribes and Pharisees began to wonder and say, ""Who is he that dares speak blasphemies? Who can forgive sins except God Himself? ""Jesus, however, looked through their thoughts and said to them,"" What are your thoughts troubling in your hearts? What is easier to say: ""Your sins are forgiven you,"" or say, ""Get up and walk?"" But let you know that the Son of Man has the power of forgiving sins on earth, ""he said to the paralyzed,"" I tell you, get up, take your bed and go home. "" And he immediately stood up before them, took the bed on which he lay, and went home, glorifying God."
2018-12-09,"It was in the fifteenth year of the rule of Tiberius Caesar. When Pontius Pilate was the governor of Judea, Herod the tetrarch of Galilee, his brother Philip the tetrarch of Iturei and the country of Trachon, Lysania the tetrarch of Abilene; for the high priests of Annas and Caiaphas, the word of God was addressed to John, son of Zachariah, in the desert. He went around the whole area of ​​the Jordan and preached the conversion of baptism for the remission of sins, as it is written in the book of the prophet Isaiah: ""The voice of a crying in the desert: Prepare the way of the Lord, straighten the path for him; let every valley be filled, every mountain and hill leveled, winding roads be made straight, and bumpy roads smooth. And all people will see God's salvation. """
2018-12-08,"God sent the angel Gabriel to the city of Galilee, called Nazareth, to the Virgin married to her husband, named Joseph, of the family of David; and the Virgin's name was Mary. The angel came to her and said: ""Greetings, full of grace, the Lord is with you, blessed you are among women."" She mingled at these words and pondered what this greeting would mean. Then the angel said to her, ""Do not be afraid, Mary, for you have found grace with God. Behold, you are going to conceive and give birth to a son, to whom you will name Jesus. He will be great and will be called the Son of the Most High, and the Lord God will give him the throne of his forefather, David. He will reign over the house of Jacob forever, and his reign will not end. "" Mary said to the angel, ""How will this happen if I do not know my husband?"" Her angel replied, ""The Holy Spirit will descend upon You and the power of the Supreme will shield You. Therefore, the Holy One who is born will be called the Son of God. And, behold, your relative, Elisabeth, conceived a son in her old age, and she is in the sixth month that she is considered barren. There is nothing impossible for God. "" Mary said, ""Behold, I am the servant of the Lord, let it be to me according to your word!"" Then the angel departed from her."
2018-12-07,"When Jesus passed, two blind people followed him, and they cried out, ""Have mercy on us, Son of David."" When he entered the house, the blind came to him, and Jesus asked them: ""Do you believe that I can do this?"" They answered him, ""Yes, Lord."" Then he touched their eyes, saying, ""Let it be done unto you, according to your faith."" And their eyes were opened, and Jesus severely commanded them, ""Take heed, let no one know about it."" They, however, as soon as they left, spread the word about him throughout the whole area."
2018-12-06,"Jesus said to his disciples, ""Not everyone who says to me,"" Lord, Lord, ""will enter the kingdom of heaven, but he who does the will of my Father who is in heaven. Everyone who hears these words of mine and fulfills them, can be compared with a wise man who built his house on the rock. The rain fell, the streams rose, the winds blew and they hit the house. However, he did not fall down because he was confirmed on the rock. Everyone who hears these words of mine, and does not fulfill them, can be compared with an unreasonable man who built his house on the sand. The rain fell, the streams rose, the winds rushed and they threw themselves at the house. And he fell, and his fall was great. """
2018-12-05,"Jesus came to the Sea of ​​Galilee. He went upstairs and sat there. And great crowds came to Him, having with them the lame, the weak, the blind, the dumb and many others, and they put them at His feet, and He healed them. The crowds were amazed to see that they did not speak, the disabled are healthy, the lame walk, the blind see. And they worshiped the God of Israel. But Jesus called his disciples and said, ""I am sorry for this crowd. They have been with me for three days and they have nothing to eat. I do not want to let them go hungry so that no one will faint on the way. "" Then the disciples said to him, ""Where do we get so much bread here in the wilderness to feed such a lot?"" Jesus asked them, ""How many loaves do you have?"" They replied, ""Seven and a few fish."" He told the people to sit on the ground; he took these seven loaves and fish, and after giving thanks, broke, gave to the disciples, and the disciples to the multitudes. They all ate to the satiety, and the remaining seven pieces were collected in seven full baskets."
2018-12-04,"Jesus rejoiced in the Holy Spirit and said, ""I thank You, O Father, Lord of heaven and earth, You have hidden these things from the wise and prudent, and You have revealed them to the simpletons. Yes, Father, because that was your taste. My Father gave me everything. Nobody also knows who the Son is, only the Father; or who the Father is, only the Son and the Son whom he will reveal. "" Then he turned to the disciples themselves and said: ""Happy eyes that see what you see. For I say to you, Many prophets and kings wanted to see what you see and did not see and hear what you hear and did not hear. """
2018-12-03,"When Jesus entered Capernaum, the centurion approached him and begged him, saying: ""Lord, my servant is paralyzed at home and suffers greatly."" Jesus said to him, ""I will come and heal him."" But the centurion replied, ""Lord, I am not worthy that you should come under my roof, but only say the word, and my servant will recover. Because even though I am subject to power, I have soldiers under me. I say this: ""Go"" and it goes; the other: ""Come here"" and he comes; and the servant, ""Do it,"" and he does. "" When Jesus heard this, he was surprised and said to those who followed him: ""Verily, I say to you, I have not found such a great faith in anyone in Israel. But I say to you: Many will come from the East and West and will sit at the table with Abraham, Isaac and Jacob in the kingdom of heaven. """
2018-12-02,"Jesus said to his disciples: ""There will be signs in the sun, moon and stars, and on the earth the terror of the helpless nations against the sound of the sea and its storm. People will faint in fear, waiting for events that threaten the earth. For the powers of the heavens will be shaken. Then they will see the Son of man coming on the cloud with great power and glory. And when this happens, take up your spirit and raise your heads, because your redemption is approaching. Take care that your hearts are not sluggish due to gluttony, drunkenness and temporal concerns, so that this day will not suddenly fall upon you like a trap. He will come to all who live on the whole earth. Watch and pray at all times, that you may avoid all that is to come, and stand before the Son of man. """
2018-12-01,"Jesus said to his disciples, ""Take care that your hearts are not sluggish due to gluttony, drunkenness and temporal concerns, that this day should not fall on you suddenly, like a trap. He will come to all who live on the whole earth. Watch and pray at all times, that you may avoid all that is to come, and stand before the Son of Man. """
2018-11-29,"Jesus said to his disciples: ""Since you will see Jerusalem surrounded by armies, then know that its devastation is near. Then let those who are in Judea flee to the mountains; Let those who are in the city, let them go away from it, let those who are in the villages do not come in to it. For it will be a time of vengeance, that everything that is written may be fulfilled. Woe to those who are with child and those who are nursing in those days. There will be a great tribulation on earth and anger against this nation: some will fall by the sword, and the other will enslave all nations. And Jerusalem will be trodden down by the Gentiles until the times of the Gentiles pass away. There will be signs in the sun, the moon and the stars, and on the earth the terror of the helpless people against the sound of the sea and its storm. People will faint with fear in anticipation of events threatening the earth. For the powers of the heavens will be shaken. Then they will see the Son of Man coming in the cloud with great power and glory. And when this happens, take up your spirit and raise your heads, because your redemption is approaching. """
2018-11-28,"Jesus said to his disciples, ""They will raise their hands and persecute you. They will send you to synagogues and to prisons, and because of my name they will bring you before kings and governors. It will be an opportunity for you to testify. Set aside in your heart not to think forward to your defense. For I will give you an utterance and wisdom that none of your persecutors will be able to resist or object to. And even parents and brothers, relatives and friends will give you away and some of you will die for death. And because of my name, you will be hated by everyone. But the hair of your head will not die. Through your perseverance, you will save your life. """
2018-11-27,"When some said of the temple that it was adorned with beautiful stones and gifts, Jesus said: ""The time will come when from what you look at, there will be no stone on the stone that would not be fallen."" They asked Him, ""Teacher, when will this happen? And what will be the sign when this happens? ""Jesus replied:"" Beware that you will not be led astray. For many will come under my name and say, ""I am"" and ""the time has come."" Do not follow them. And do not be afraid when you hear about wars and upheavals. It must first happen, but it will not end soon. "" Then he said to them: ""A nation will rise against the nation and a kingdom against the kingdom. There will be strong earthquakes, and in places hunger and pestilence; there will be terrible phenomena and great signs in the sky. """
2018-11-26,"When Jesus raised his eyes, he saw how the rich threw their offerings into the treasury. He also saw how poor a widow put in two coins. And he said, ""Truly, I say to you, this poor widow has thrown in more than anyone else. For they all threw in a sacrifice of what was disposed of them; but she threw in everything she had for maintenance out of her scarcity. """
2018-11-25,"Pilate said to Jesus, ""Are you the Jewish King?"" Jesus replied, ""Are you saying this from yourself, or have others told you about me?"" Pilate replied, ""Am I a Jew? Your nation and the high priests have given you to me. Did he do something? "" Jesus answered: ""My kingdom is not of this world. If my kingdom were of this world, my servants would fight, that I would not be handed over to the Jews. Now my kingdom is not from here. "" Pilate therefore said to him, ""So you are the King?"" Jesus answered: ""Yes, I am the king. I was born for this and I came to this world to give witness to the truth. Everyone who is from the truth listens to my voice. """
2018-11-24,"Jesus approached several Sadducees who claim that there is no resurrection and they said to him in this way: ""Teacher, Moses wrote this to us:"" If a brother who had a wife who was childless dies, let his brother take a widow and let him He will raise offspring for his brother. "" Well, there were seven brothers. The first took his wife and died without children. The second and then the third took her, and they all died without leaving the children. In the end, the woman died. So in the resurrection, which one will he be a wife? All seven of them had her as a wife. "" Jesus said to them, ""The children of this world are getting married and getting married. But those who are deemed worthy of participation in the future world and in the resurrection, neither marry nor marry. They can not die because they are equal to angels and are children of God, being participants in the resurrection. And that the dead will be resurrected, Moses also pointed out where the bush is mentioned, when he calls the Lord ""God of Abraham, God of Isaac and God of Jacob"". God is not the God of the dead but of the living; for everyone lives for him. "" Some of the scribes said, ""Master, you said well,"" because they did not dare to ask him anything."
2018-11-23,"Jesus entered the temple and began to throw away the sellers in her. He said to them, ""It is written,"" My house will be a house of prayer, ""and you made him a cave of robbers."" And he taught everyday in the temple. But the high priests and the scribes and the leaders of the people dwelt upon his life. Only they did not know what they could do, because all the people listened to him with bated breath."
2018-11-22,"When Jesus was near Jerusalem, he wept over the city and said, ""If only you would know what is serving peace in that day. But now it has been hidden from your eyes. For the days will come for you, when your enemies surround you with the embankment, they will run round and close all around. They will knock you and your children with you, and they will not leave a stone in you for the fact that you have not recognized the time of your visitation. """
2018-11-21,"Jesus told the parable because he was near Jerusalem, and they thought that the kingdom of God would appear soon. So he said: ""A man of noble descent went to a distant country to obtain royal dignity and return. So he called ten of his servants, gave them ten minutes and said to them, ""Make money for them until I return."" But his fellow citizens hated him and sent him a message with a statement: ""We do not want him to reign over us."" When he returned after receiving the royal dignity, he ordered to recall those servants to whom he gave money to find out what everyone gained. So he turned first and said, ""Lord, your face has earned ten minutes."" He replied, ""Well, good servant; because you have been faithful in a small way, rule over ten cities. ""The other also came and said,"" Lord, your face brought five minutes. ""He also said:"" You have power over the five cities. ""Next came and said: ""Lord, here is your face, which I kept wrapped in a handkerchief. I was afraid of you because you are a stern man: you want to take, he did not lay something down, and eat something, he did not shed something. ""He replied to him:"" In your words I believe you, the evil servant. You knew that I was a stern man: I want to take where I have not laid, and reap when I sowed not. Why did not you give my money to the bank? And when I returned, I would take it profitably. ""To the others, he said,"" Take him back and give him ten minutes. ""They said to him,"" Lord, he has ten minutes. ""I tell you,"" To everyone who has will be added; and even those who do not have even what they have. And those of my opponents who did not want me to reign over them, bring me here and cut them in my eyes. ""After these words, he moved ahead heading for Jerusalem."
2018-11-20,"Jesus entered Jericho and passed through the city. And there was a man there, named Zacchaeus, the chief of tax collectors and very rich. He wanted to see Jesus who it is, but he could not because of the crowd because he was short. So he ran forward and climbed to the sycamore tree to see Him, because he was going through that way. When Jesus came to this place, he looked up and said to him, ""Zacchaeus, come down quickly, for today I must stop at your house."" So he descended in a hurry and welcomed him. And all seeing this, they murmured: ""He went into hospitality to the sinner."" But Zacchaeus stood and said to the Lord, ""Lord, here I give half of my property to the poor, and if I have hurt anyone in whom I turn, I return four times."" Jesus said to him, ""Today is the salvation of this house, for he is also the son of Abraham. For the Son of Man came to seek and save what was lost. """
2018-11-19,"When Jesus approached Jericho, a blind man sat by the side of the road and begged. When he heard that the crowd was dragging, he found out what was happening. They told him that Jesus of Nazareth was passing by. Then he began to cry out, ""Jesus, Son of David, have mercy on me!"" Those who went in front, they set on him to make him fall silent. But he cried even louder: ""Jesus, Son of David, have mercy on me!"" Jesus paused and told him to bring him to him. And when he approached, he asked him, ""What do you want me to do to you?"" He said, ""Lord, let me see."" Jesus answered him, ""Look, your faith has healed you."" He immediately saw and followed Him, praising God. The whole people who saw it also gave glory to God."
2018-11-18,"Jesus said to his disciples: ""In those days, after the great tribulation, the sun will darken and the moon will not give its light. The stars will fall from heaven and the powers in the sky will be shaken. Then they will see the Son of man coming in the clouds with great power and glory. Then he will send angels and gather his chosen from the four sides of the world, from the end of the earth to the top of heaven. And learn from the fig tree by likeness. When its branch takes on juices and leaves, you know that summer is near. So you, when you see that this is happening, know that it is near, in the door. Verily I say unto you, This generation shall not pass away, until all these things are done. Heaven and earth will pass away, but my words will not pass away. But in that day or hour no one knows, neither angels in heaven, nor the Son, only the Father. """
2018-11-17,"Jesus told his disciples the parable that they should always pray and never cease: ""In some city lived a judge who was not afraid of God and did not count with people. In the same city lived a widow who came to him with the request: ""Defend me against my opponent."" For a time he did not want to. But then he said to himself: ""Although I am not afraid of God and I do not count with people, it is because this widow troubles me, I will defend her, so that she would not come without end and torment me."" And the Lord added: ""Listen to what this unjust judge says. And will God not defend his elect, who call to him day and night, and whether he will procrastinate in their cause? I tell you that he will defend them quickly. But will the Son of Man find faith on earth when he comes? """
2018-11-16,"Jesus said to his disciples: ""As it was in the days of Noah, so also it will be in the days of the Son of man: eat and drink, marry, and get married until the day when Noah entered the ark; suddenly a flood came and he lost everyone. Just as it was during Lot's time: they ate and drank, bought and sold, planted and built, but on the day that Lot left Sodom, a rain of fire and sulfur fell from heaven and destroyed everyone; so it will be on the day when the Son of Man is revealed. In that day he who is on the roof, and his things in the apartment, let him not go down to take them away; And who in the field, let him not return to himself. Remind yourself of Lot's wife. Who will try to save his life will lose it; and whoever loses them will keep them. I say to you: That night two will be on one bed: one will be taken and the other will be left. Two will be ground together: one will be taken and the other will be left. "" They asked Him, ""Where, Lord?"" He said to them, ""Where is the carcass, there will be vultures and vultures."""
2018-11-15,"Jesus, when asked by the Pharisees when the kingdom of God comes, he replied: ""The Kingdom of God will not come perceptibly; and they will not say, ""Here he is,"" or ""there."" For the kingdom of God is with you. "" He said to the disciples, ""The time will come when you will desire to see even one of the days of the Son of man, and you will not see. They'll say, ""Here you are,"" or ""here."" Do not go there and do not run after them. For as the lightning, when it shines, shines from one end of the horizon to the other, so it will be with the Son of Man in his day. First, however, he must suffer a lot and be rejected by this generation. """
2018-11-14,"Towards Jerusalem, Jesus passed through the borderlands of Samaria and Galilee. When he entered a certain village, ten lepers met Him. They stopped at a distance and shouted loudly: ""Jesus, Master, have mercy on us."" When he saw them, he said to them, ""Go, show yourself to the priests."" And when they were walking, they were cleansed. Then one of them, seeing that he was healed, came back praising God with a loud voice, fell on his face to his feet and thanked him. And he was a Samaritan. Jesus said, ""Have not ten been cleansed? Where is nine? Nothing was found that would come back and give glory to God, only this foreigner. "" To him, he said, ""Get up, go, your faith has healed you."""
2018-11-13,"Jesus said to his apostles: ""Who of you, having a servant who is eagle or grazing, will tell him when he returns from the field:"" Come and sit down to the table ""? Would not he say to him, ""Prepare a supper for me, gird yourselves and serve me until I eat and drink, and then you will eat and drink""? Do you thank the servant for doing what he was told? So tell us, when you do what you have been told: ""We are useless, we have done what we should do""."
2018-11-12,"Jesus said to his disciples, ""It is impossible that no scandal should come; but woe to him through whom they come. It would be better for him if the millstone were hung around his neck and thrown into the sea, rather than to be the reason for the sin of one of these little ones. Be careful. If your brother is guilty, reproach him; and if he regrets, forgive him. And if he would sin seven times a day against you and ask you seven times, saying, ""I am sorry,"" forgive him. ""The apostles begged the Lord:"" Increase our faith. ""The Lord said,"" If you had faith like a mustard seed, you would say this mulberry: ""Get rid of the root and get out into the sea"" and would obey you. """
2018-11-11,"Jesus preaching, he said to the audience: ""Beware of the scribes. They delight in wearing robes, like greetings on the market, first chairs in synagogues and honorable places at feasts. They eat widows' houses and, for good appearances, they give long prayers. These will get the harsher judgment. "" Then he sat down in front of the treasury and watched as the crowd threw some money into the treasury. Many rich people threw a lot. One poor widow also came and threw in two coins, or one penny. Then he called his disciples and said to them, ""Verily I say unto you, This poor widow put in the most of all who put them in the treasury. They were all throwing in what was giving them away; and she, of her want, threw in everything she had, all her maintenance. """
2018-11-10,"Jesus said to his disciples: ""Get your friends in a wicked mammon, that when all is over, you are accepted into the eternal tabernacles. The one who is faithful in a small way will be faithful in the great; and whoever is dishonest in a small way will be dishonest in a great deal. If, then, you have not been faithful in the board of wicked mammon, who will entrust you with real good? If you have not been faithful in the management of someone else's good, who will give you yours? No servant can serve two masters. For he will hate either one, and love the other; or he will hold with that, and he will scorn. You can not serve God and mammon. "" All the pharisees, who were greedy for money, listened to all this, and they would call themselves from Him. He said to them, ""It is you who pretend to be just to people, but God knows your hearts. For what is great among men is an abomination in the eyes of God. """
2018-11-09,"The Jewish Passover season was approaching and Jesus went to Jerusalem. In the temple he met those who sold oxen, lambs and pigeons, and bankers sitting behind the tables. Then, drawing up a whip from strings, he rushed out of the temple, including lambs and oxen, scattered the bankers' coins, and stole the tables. To those who sold pigeons, he said: ""Take this from here, and do not make my marketplace out of the house of my father."" His disciples remembered that it was written: ""Zeal for thy house devours me."" In response, the Jews said to him, ""What sign do you show to us if you do such things?"" Jesus gave them the answer: ""Destroy this temple, and I will raise it up in three days."" The Jews said to him, ""Forty-six years, this temple was built, and you will raise it in three days?"" He spoke about the temple of his body. So when he was raised from the dead, his disciples remembered that he had said this, and they believed the scripture and the word that Jesus had spoken."
2018-11-08,"All tax collectors and sinners approached Jesus to hear him. The Pharisees and scribes cried, ""This man receives sinners and eats with them."" He then told them the following parable: ""Who among you, having a hundred sheep, and losing one of them, leaves ninety-nine in the wilderness, and does not follow the lost, until he finds it? And when he finds her, he takes her arms joyfully and goes back home; he invites friends and neighbors and tells them: ""Rejoice with me, because I found a sheep that died."" They say to you: Likewise in heaven, greater will be the joy of one sinner who converts than of ninety-nine righteous who do not need conversion. Or if a woman with ten drachmas loses one drachma, does he not light, do not sweep the house and look for it carefully until he finds it? And finding her, she appeals to friends and neighbors and says: ""Rejoice with me, because I found a drachma which I lost"". In the same way, I tell you, joy arises in the angels of God from one sinner who converts. """
2018-11-07,"Great crowds went with Jesus. He turned and said to them, ""If anyone comes to me and does not hate his father and mother, wife and children, brothers and sisters, too much of himself, he can not be my disciple. Whoever does not bear his cross and follow me can not be my disciple. For who among you, wanting to build a tower, will not sit down first, and do not calculate expenses, does he have to finish? Otherwise, if he had laid the foundations and could not finish them off, everyone would look at it and start mocking him: ""This man started to build, and he could not finish off."" Or which king, having set off to battle the second king, will not sit down first and consider whether he can face ten thousand people against him with twenty thousand? If not, he sends a message while he is still far away, and asks for conditions of peace. So no one of you who renounces everything he has can be my disciple. """
2018-11-06,"As Jesus sat at the table, one of the fellow-friends said to him, ""Happy is he who feasts in the kingdom of God."" Jesus replied: ""A man has made a great feast and invited many. When the feast time came, he sent his servant to say to the invited: ""Come, for everything is ready."" Then everyone began to speak unanimously. The first told him to say: ""I have bought a field, I have to go out to see it, I am asking you, consider me justified."" The other said: ""I have bought five pairs of oxen and I am going to try them out, please, consider me justified."" Another said, ""I married my wife and therefore I can not come."" The servant returned and told his master. Then an angry host ordered the servant: ""Go quickly to the streets and alleys of the city and bring here the poor, defective, blind and lame"". The servant said: ""Lord, it happened as you commanded, and there is still room."" And the lord said to the servant, ""Go out into the roads and between the hedges, and make me enter, that my house may be filled. For I say unto you, None of these people who were invited would taste my feast."""
2018-11-05,"Jesus said to the leader of the Pharisees, who invited him: ""When you are giving dinner or supper, do not invite your friends or brothers, relatives or wealthy neighbors to invite you and each other, and you would have a remuneration. But when you arrange a party, invite the poor, the lame, the lame and the blind. And you will be happy because they have nothing to repay you; for the reward you will receive in the resurrection of the righteous. """
2018-11-03,"When Jesus came to the house of a certain leader of the Pharisees, to eat a meal on the Sabbath, they followed Him. He then told the invited parable when he noticed how they were choosing the first places. He said to them, ""If anyone invites you to a feast, do not take the first place, that sometimes someone who is more outstanding than you will not be invited by him, then the one who invited you will come and tell you:"" Give way to this place. "" You would have to take the last place with shame, but when you are invited, go and sit in the last place, and the host will come and tell you, ""Friend, change above."" And you will be honored with all your fellow-beloved friends. humbled, whoever humbles himself will be exalted. """
